,id,type,special_status,notes
209,Pocillopora_meandrina_HIv1___RNAseq.g15252.t1,gene,NA,NA
210,Pocillopora_meandrina_HIv1___RNAseq.g22666.t1,gene,NA,NA
211,Pocillopora_meandrina_HIv1___TS.g23997.t1,gene,NA,NA
212,Pocillopora_meandrina_HIv1___RNAseq.g29298.t1,gene,NA,NA
213,Pocillopora_meandrina_HIv1___RNAseq.g1869.t1,gene,NA,NA
214,Pocillopora_meandrina_HIv1___TS.g20484.t1,gene,NA,NA
215,Pocillopora_meandrina_HIv1___RNAseq.g21083.t1,gene,NA,NA
216,Pocillopora_meandrina_HIv1___TS.g29797.t1a,gene,NA,NA
217,Pocillopora_meandrina_HIv1___RNAseq.g13929.t1,gene,NA,NA
218,Pocillopora_meandrina_HIv1___RNAseq.g10343.t1,gene,NA,NA
219,Pocillopora_meandrina_HIv1___RNAseq.g14845.t1,gene,NA,NA
220,Pocillopora_meandrina_HIv1___RNAseq.g15866.t1,gene,NA,NA
221,Pocillopora_meandrina_HIv1___RNAseq.g13578.t1,gene,NA,NA
222,Pocillopora_meandrina_HIv1___RNAseq.g28481.t1,gene,NA,NA
223,Pocillopora_meandrina_HIv1___RNAseq.g549.t1b,gene,NA,NA
224,Pocillopora_meandrina_HIv1___RNAseq.g7360.t1,gene,NA,NA
225,Pocillopora_meandrina_HIv1___RNAseq.g2388.t1,gene,NA,NA
226,Pocillopora_meandrina_HIv1___TS.g5141.t1,gene,NA,NA
227,Pocillopora_meandrina_HIv1___RNAseq.g28898.t1,gene,NA,NA
228,Pocillopora_meandrina_HIv1___RNAseq.g29320.t1,gene,NA,NA
229,Pocillopora_meandrina_HIv1___TS.g16575.t1,gene,NA,NA
230,Pocillopora_meandrina_HIv1___RNAseq.g21663.t3,gene,NA,NA
231,Pocillopora_meandrina_HIv1___RNAseq.g1558.t1,gene,NA,NA
232,Pocillopora_meandrina_HIv1___RNAseq.g18290.t1,gene,NA,NA
233,Pocillopora_meandrina_HIv1___RNAseq.g5133.t1,gene,NA,NA
234,Pocillopora_meandrina_HIv1___TS.g12427.t1,gene,NA,NA
235,Pocillopora_meandrina_HIv1___RNAseq.g22440.t1,gene,NA,NA
236,Pocillopora_meandrina_HIv1___TS.g6076.t1,gene,NA,NA
237,Pocillopora_meandrina_HIv1___TS.g2276.t1,gene,NA,NA
238,Pocillopora_meandrina_HIv1___RNAseq.g22816.t2,gene,NA,NA
239,Pocillopora_meandrina_HIv1___RNAseq.g22088.t1,gene,NA,NA
240,Pocillopora_meandrina_HIv1___TS.g9480.t1,gene,NA,NA
241,Pocillopora_meandrina_HIv1___RNAseq.g5368.t1,gene,NA,NA
242,Pocillopora_meandrina_HIv1___RNAseq.g16818.t2,gene,NA,NA
243,Pocillopora_meandrina_HIv1___TS.g18078.t3,gene,NA,NA
244,Pocillopora_meandrina_HIv1___RNAseq.g18023.t1,gene,NA,NA
245,Pocillopora_meandrina_HIv1___RNAseq.g7261.t1,gene,NA,NA
246,Pocillopora_meandrina_HIv1___RNAseq.g25846.t1,gene,NA,NA
247,Pocillopora_meandrina_HIv1___RNAseq.g26345.t1,gene,NA,NA
248,Pocillopora_meandrina_HIv1___RNAseq.g27756.t1,gene,NA,NA
249,Pocillopora_meandrina_HIv1___TS.g25963.t1,gene,NA,NA
250,Pocillopora_meandrina_HIv1___TS.g25933.t1,gene,NA,NA
251,Pocillopora_meandrina_HIv1___RNAseq.g23007.t1,gene,NA,NA
252,Pocillopora_meandrina_HIv1___RNAseq.g11119.t1,gene,NA,NA
253,Pocillopora_meandrina_HIv1___RNAseq.g21081.t1,gene,NA,NA
254,Pocillopora_meandrina_HIv1___RNAseq.g27468.t1,gene,NA,NA
255,Pocillopora_meandrina_HIv1___RNAseq.g27793.t1,gene,NA,NA
256,Pocillopora_meandrina_HIv1___RNAseq.g10367.t1,gene,NA,NA
257,Pocillopora_meandrina_HIv1___RNAseq.g9583.t1,gene,NA,NA
258,Pocillopora_meandrina_HIv1___RNAseq.g22048.t1a,gene,NA,NA
259,Pocillopora_meandrina_HIv1___RNAseq.g11546.t1,gene,NA,NA
260,Pocillopora_meandrina_HIv1___RNAseq.g16419.t1,gene,NA,NA
261,Pocillopora_meandrina_HIv1___RNAseq.g15378.t1,gene,NA,NA
262,Pocillopora_meandrina_HIv1___RNAseq.g15470.t2,gene,NA,NA
263,Pocillopora_meandrina_HIv1___RNAseq.g807.t1,gene,NA,NA
264,Pocillopora_meandrina_HIv1___RNAseq.g20080.t1,gene,NA,NA
265,Pocillopora_meandrina_HIv1___RNAseq.g26469.t1,gene,NA,NA
266,Pocillopora_meandrina_HIv1___RNAseq.g21739.t1,gene,NA,NA
267,Pocillopora_meandrina_HIv1___RNAseq.g11181.t1,gene,NA,NA
268,Pocillopora_meandrina_HIv1___RNAseq.g16602.t1,gene,NA,NA
269,Pocillopora_meandrina_HIv1___RNAseq.g293.t1,gene,NA,NA
270,Pocillopora_meandrina_HIv1___RNAseq.g20424.t1,gene,NA,NA
271,Pocillopora_meandrina_HIv1___RNAseq.g15523.t1,gene,NA,NA
272,Pocillopora_meandrina_HIv1___RNAseq.g3258.t1,gene,NA,NA
273,Pocillopora_meandrina_HIv1___RNAseq.g6185.t1,gene,NA,NA
274,Pocillopora_meandrina_HIv1___RNAseq.g26465.t1,gene,NA,NA
275,Pocillopora_meandrina_HIv1___RNAseq.g27884.t1,gene,NA,NA
276,Pocillopora_meandrina_HIv1___RNAseq.g21320.t1,gene,NA,NA
277,Pocillopora_meandrina_HIv1___RNAseq.g1987.t1,gene,NA,NA
278,Pocillopora_meandrina_HIv1___RNAseq.g1040.t1,gene,NA,NA
279,Pocillopora_meandrina_HIv1___TS.g2795.t1,gene,NA,NA
280,Pocillopora_meandrina_HIv1___RNAseq.g13783.t1,gene,NA,NA
281,Pocillopora_meandrina_HIv1___RNAseq.g22875.t1,gene,NA,NA
282,Pocillopora_meandrina_HIv1___RNAseq.8567_t,gene,NA,NA
283,Pocillopora_meandrina_HIv1___RNAseq.g4243.t1,gene,NA,NA
284,Pocillopora_meandrina_HIv1___RNAseq.g11161.t1,gene,NA,NA
285,Pocillopora_meandrina_HIv1___RNAseq.g2284.t1,gene,NA,NA
286,Pocillopora_meandrina_HIv1___RNAseq.g16451.t1,gene,NA,NA
287,Pocillopora_meandrina_HIv1___TS.g7132.t1,gene,NA,NA
288,Pocillopora_meandrina_HIv1___RNAseq.g514.t1,gene,NA,NA
289,Pocillopora_meandrina_HIv1___RNAseq.g14976.t1,gene,NA,NA
290,Pocillopora_meandrina_HIv1___RNAseq.g6117.t1,gene,NA,NA
291,Pocillopora_meandrina_HIv1___RNAseq.g8464.t2,gene,NA,NA
292,Pocillopora_meandrina_HIv1___RNAseq.g23266.t1,gene,NA,NA
293,Pocillopora_meandrina_HIv1___RNAseq.g21229.t1,gene,NA,NA
294,Pocillopora_meandrina_HIv1___RNAseq.g18163.t1,gene,NA,NA
295,Pocillopora_meandrina_HIv1___RNAseq.g13279.t1,gene,NA,NA
296,Pocillopora_meandrina_HIv1___RNAseq.g17978.t1,gene,NA,NA
297,Pocillopora_meandrina_HIv1___RNAseq.9756_t,gene,NA,NA
298,Pocillopora_meandrina_HIv1___RNAseq.g23639.t1,gene,NA,NA
299,Pocillopora_meandrina_HIv1___RNAseq.g1033.t1,gene,NA,NA
300,Pocillopora_meandrina_HIv1___RNAseq.g26196.t1,gene,NA,NA
301,Pocillopora_meandrina_HIv1___RNAseq.g26385.t1,gene,NA,NA
302,Pocillopora_meandrina_HIv1___RNAseq.g12113.t1,gene,NA,NA
303,Pocillopora_meandrina_HIv1___RNAseq.g24301.t1,gene,NA,NA
304,Pocillopora_meandrina_HIv1___RNAseq.g12193.t1,gene,NA,NA
305,Pocillopora_meandrina_HIv1___RNAseq.g9971.t1,gene,NA,NA
306,Pocillopora_meandrina_HIv1___RNAseq.g28314.t1,gene,NA,NA
307,Pocillopora_meandrina_HIv1___RNAseq.g8061.t1,gene,NA,NA
308,Pocillopora_meandrina_HIv1___RNAseq.g9784.t1,gene,NA,NA
309,Pocillopora_meandrina_HIv1___RNAseq.g23603.t1,gene,NA,NA
310,Pocillopora_meandrina_HIv1___RNAseq.g8655.t1,gene,NA,NA
311,Pocillopora_meandrina_HIv1___RNAseq.g21350.t1,gene,NA,NA
312,Pocillopora_meandrina_HIv1___RNAseq.g29280.t1,gene,NA,NA
313,Pocillopora_meandrina_HIv1___RNAseq.g24014.t1,gene,NA,NA
314,Pocillopora_meandrina_HIv1___TS.g177.t1,gene,NA,NA
315,Pocillopora_meandrina_HIv1___TS.g7248.t1,gene,NA,NA
316,Pocillopora_meandrina_HIv1___RNAseq.g490.t1,gene,NA,NA
317,Pocillopora_meandrina_HIv1___RNAseq.g26433.t2,gene,NA,NA
318,Pocillopora_meandrina_HIv1___RNAseq.g27393.t1,gene,NA,NA
319,Pocillopora_meandrina_HIv1___TS.g19078.t1,gene,NA,NA
320,Pocillopora_meandrina_HIv1___RNAseq.g14695.t1,gene,NA,NA
321,Pocillopora_meandrina_HIv1___RNAseq.g11538.t1,gene,NA,NA
322,Pocillopora_meandrina_HIv1___RNAseq.g13302.t1,gene,NA,NA
323,Pocillopora_meandrina_HIv1___RNAseq.g13379.t1,gene,NA,NA
324,Pocillopora_meandrina_HIv1___RNAseq.g3681.t1,gene,NA,NA
325,Pocillopora_meandrina_HIv1___RNAseq.g15954.t1,gene,NA,NA
326,Pocillopora_meandrina_HIv1___RNAseq.g26877.t1,gene,NA,NA
327,Pocillopora_meandrina_HIv1___RNAseq.g12008.t1,gene,NA,NA
328,Pocillopora_meandrina_HIv1___RNAseq.g29818.t1,gene,NA,NA
329,Pocillopora_meandrina_HIv1___RNAseq.g30359.t1,gene,NA,NA
330,Pocillopora_meandrina_HIv1___RNAseq.g12090.t1,gene,NA,NA
331,Pocillopora_meandrina_HIv1___RNAseq.g5747.t1,gene,NA,NA
332,Pocillopora_meandrina_HIv1___TS.g27445.t1,gene,NA,NA
333,Pocillopora_meandrina_HIv1___RNAseq.g17412.t1,gene,NA,NA
334,Pocillopora_meandrina_HIv1___RNAseq.g22817.t1,gene,NA,NA
335,Pocillopora_meandrina_HIv1___RNAseq.g19720.t1,gene,NA,NA
336,Pocillopora_meandrina_HIv1___TS.g19282.t1,gene,NA,NA
337,Pocillopora_meandrina_HIv1___RNAseq.g20993.t2,gene,NA,NA
338,Pocillopora_meandrina_HIv1___RNAseq.g11445.t1,gene,NA,NA
339,Pocillopora_meandrina_HIv1___RNAseq.g28515.t2b,gene,NA,NA
340,Pocillopora_meandrina_HIv1___RNAseq.g297.t1,gene,NA,NA
341,Pocillopora_meandrina_HIv1___RNAseq.g5338.t1,gene,NA,NA
342,Pocillopora_meandrina_HIv1___RNAseq.g17919.t1,gene,NA,NA
343,Pocillopora_meandrina_HIv1___RNAseq.g2373.t1,gene,NA,NA
344,Pocillopora_meandrina_HIv1___RNAseq.g18093.t1,gene,NA,NA
