"","Species","Protein_of_interest_simplified","avg_rpm","std_rpm","n"
"170","Ptuh","NSUN5",229.400146983657,143.344168372794,1
"171","Ptuh","NSUN6",618.22209857,211.857003174546,1
"172","Ptuh","OGT",34692.4478415805,6894.19659748858,1
"173","Ptuh","OTUD3",534.414680100008,305.580116703456,1
"174","Ptuh","OTUD5",1118.35852610168,570.738504900461,1
"175","Ptuh","OTUD6",365.650950090888,61.1746951979364,1
"176","Ptuh","OTUD7",440.152129522565,241.971569053267,1
"177","Ptuh","PAK2",6881.64688522074,2623.54806254609,1
"178","Ptuh","PAN2",880.344474092019,224.424658944958,1
"179","Ptuh","PAPD5",541.316216876864,211.595985199409,1
"180","Ptuh","PARG",841.505685555411,309.752596144682,1
"181","Ptuh","PARP",710.29945409674,674.438168764469,2
"182","Ptuh","PARP1",566.260458337454,178.960451951909,1
"183","Ptuh","PARP11",39.8751601606535,51.8135410881835,1
"184","Ptuh","PARP15",350.901209046562,206.60499844778,1
"185","Ptuh","PARP16",81.6845075144572,56.0747893171083,1
"186","Ptuh","PARP4",421.758718581876,268.6795948439,1
"187","Ptuh","PARP5",3959.36697448156,1340.74823066167,1
"188","Ptuh","PARP7-TIPARP",385.037799637494,94.3935624594761,1
"189","Ptuh","PHAX",239.944421630834,135.138326126533,1
"190","Ptuh","PIM1",431.644917525535,68.6342021017584,1
"191","Ptuh","PKM",1715.94214470546,719.625411859187,1
"192","Ptuh","PKN1",3249.76197035371,1196.76414178027,1
"193","Ptuh","PPM1D",787.210914660083,203.50775283412,1
"194","Ptuh","PPP1C",6604.89631325512,3536.80348151252,1
"195","Ptuh","PPP1CB",1950.16883861439,852.481988963656,1
"196","Ptuh","PPP1R1",731.380046845381,342.467063272852,1
"197","Ptuh","PPP1R12C",7879.2522010353,2141.32331645067,1
"198","Ptuh","PPP1R13B",586.180752614091,117.666669681712,1
"199","Ptuh","PPP1R2",1007.23879926806,248.144473532046,1
"200","Ptuh","PPP1R7",189.006398909688,49.1668442679493,1
"201","Ptuh","PPP1R8",288.647591734455,109.601876294492,1
"202","Ptuh","PPP1R9",5833.73654065623,2625.86344602828,1
"203","Ptuh","PPP4C",589.188350795954,105.569366744079,1
"204","Ptuh","PPP6C",1473.29776962242,679.951222418563,1
"205","Ptuh","PQBP1",721.082234481874,335.353269041427,1
"206","Ptuh","PRDM",0,0,1
"207","Ptuh","PRDM11",12.8051433724926,20.6528034275758,1
"208","Ptuh","PRDM12",156.938465952203,68.094807545682,1
"209","Ptuh","PRDM13",282.760657297314,186.44753898616,1
"210","Ptuh","PRDM14",89.8839224943339,7.03498157996421,1
"211","Ptuh","PRDM15",6.04526987970678,9.94015797626803,1
"212","Ptuh","PRDM16",116.376487156896,52.2909425422488,1
"213","Ptuh","PRDM5",19.4072962844084,23.6192277732756,1
"214","Ptuh","PRDM6",152.493208619258,134.653623648053,1
"215","Ptuh","PRKAA",819.889428313609,493.253257118741,1
"216","Ptuh","PRKCB",1804.33397487731,650.749198828935,1
"217","Ptuh","PRKCD",1255.10201160615,447.165720249149,1
"218","Ptuh","PRKDC",12891.3670417985,3631.93183341994,1
"219","Ptuh","PRMT",691.369226497528,282.654125909722,1
"220","Ptuh","PRMT2",7.64845179443518,11.1429095429014,1
"221","Ptuh","PRMT3",817.4928657401,443.450861956594,1
"222","Ptuh","PRMT5",867.575905510746,481.609648399005,1
"223","Ptuh","PRMT7",383.118056659567,210.47333684378,1
"224","Ptuh","PRMT9",3833.06261270656,544.736994057234,1
"225","Ptuh","PRPF8",7876.7428865027,1803.73361970126,1
"226","Ptuh","PSMD14",2090.63181680963,733.289177483574,1
"227","Ptuh","PSMD7",2250.66769622831,693.025167697506,1
"228","Ptuh","PUS1",308.802975719856,116.016969729362,1
"229","Ptuh","PUS10",213.882315714497,80.3730909032317,1
"230","Ptuh","PUS3",233.461778874536,64.9963990471416,1
"231","Ptuh","PUS7",371.189849720178,146.478493861974,1
"232","Ptuh","PUS7L",130.250037399225,96.3611940442158,1
"233","Ptuh","RAN",1664.11097404368,557.11680376063,1
"234","Ptuh","RBM15",2144.22141967178,785.03884359048,1
"235","Ptuh","RDRP",279.381248842762,134.868567382751,16
"236","Ptuh","RIOX",408.99424365555,156.581030785779,1
"237","Ptuh","RNF",3877.94850298095,1101.83765138779,1
"238","Ptuh","RNF168",43.0583584312583,10.2297224442422,1
"239","Ptuh","RPS6KA",5136.22396553315,1529.24623059575,1
"240","Ptuh","RPUSD2",510.746555870121,69.7745405603211,1
"241","Ptuh","RPUSD4",110.588499703093,28.2684504937554,1
"242","Ptuh","SENP",1659.52344705878,1022.9907798632,2
"243","Ptuh","SENP8",108.204608128662,54.2217855580832,1
"244","Ptuh","SETD3",401.624042846801,201.992490738564,1
"245","Ptuh","SETD4",151.822112539606,86.3095179881818,1
"246","Ptuh","SETD5",11492.3714767411,4134.87519728701,1
"247","Ptuh","SETD6",166.875882582618,58.3009458982806,1
"248","Ptuh","SETMAR",246.604431055819,127.186975485922,1
"249","Ptuh","SIRT1",639.406060523289,314.441306206667,1
"250","Ptuh","SIRT2",490.933892711723,122.213916912308,1
"251","Ptuh","SIRT3",1377.32604558318,511.445800444842,1
"252","Ptuh","SIRT4",139.272531684384,54.8228294486646,1
"253","Ptuh","SIRT5",319.797749276814,136.642200813902,1
"254","Ptuh","SIRT6",360.207019364838,83.5585851755874,1
"255","Ptuh","SIRT7",1177.04006198853,297.804487971617,1
"256","Ptuh","SLK",1329.83185088582,567.935345940539,1
"257","Ptuh","SMYD",115.683171437678,44.3756046115437,1
"258","Ptuh","SMYD4",3647.68319581678,1168.55598673181,1
"259","Ptuh","SMYD5",88.694737663253,19.4016986697232,1
"260","Ptuh","SRRT",10977.796607306,2899.13523241117,1
"261","Ptuh","STAMBPL1",494.847140177441,201.35285548639,1
"262","Ptuh","STK4",835.016078488326,259.692927843612,1
"263","Ptuh","SUV39H",243.891683849531,106.848198640776,1
"264","Ptuh","TET",1125.68598739278,461.5106283039,1
"265","Ptuh","TNRC6",8431.59312253272,2665.3934554426,1
"266","Ptuh","TOM1",2404.46086218907,363.825514367476,1
"267","Ptuh","TRDMT1",193.623626499823,101.889046294557,1
"268","Ptuh","TRIM37",673.478461421267,259.06135746035,1
"269","Ptuh","TRMT1",1244.25860489777,402.255476306006,1
"270","Ptuh","TRMT10A",153.479306835113,107.07572156867,1
"271","Ptuh","TRMT112",195.718732500923,78.3674950122517,1
"272","Ptuh","TRMT61A",201.245331111952,81.6404323281613,1
"273","Ptuh","TUT",2659.7142057947,746.910385853707,1
"274","Ptuh","TYW5",333.26475865957,230.261948698704,1
"275","Ptuh","UBA",4768.54909416244,1073.54568179197,1
"276","Ptuh","UBA2",430.664672061972,149.48070844449,1
"277","Ptuh","UBA3",406.86048691019,216.386701614256,1
"278","Ptuh","UBA5",1427.37703290727,489.863374411027,1
"279","Ptuh","UBA6",1016.91112982913,144.636030708015,1
"280","Ptuh","UBE2A",3930.12580817543,836.606517681589,1
"281","Ptuh","UBE2D",3794.78760091256,934.7731217117,1
"282","Ptuh","UBE2D1",327.096278994186,102.079385579277,1
"283","Ptuh","UBE2V1",2005.04787737769,515.814673324588,1
"284","Ptuh","UBE2Z",768.93660990336,342.622077984838,1
"285","Ptuh","UBE3A",1252.10224734563,569.637532878258,1
"286","Ptuh","UBE4A",9263.04271457736,6610.87481614499,1
"287","Ptuh","UBR2",2199.61540570967,1004.18588986076,1
"288","Ptuh","UCHL",1776.79562437288,591.398112438066,1
"289","Ptuh","UCHL5",2135.19845485768,880.521897261949,1
"290","Ptuh","UHRF",902.03041136439,237.709024753534,1
"291","Ptuh","USP",1853.9856496242,746.065651040583,12
"292","Ptuh","USP1",34.3538117827211,19.2460666149288,1
"293","Ptuh","USP10",4995.22497339755,3079.77438517068,1
"294","Ptuh","USP14",1120.0783912428,181.512055377209,1
"295","Ptuh","USP19",1130.94383435404,412.797498150258,1
"296","Ptuh","USP2",1345.89709210919,380.843815176893,2
"297","Ptuh","USP24",2885.57058024399,1218.60495411383,1
"298","Ptuh","USP3",741.430259910452,365.753165321117,1
"299","Ptuh","USP30",249.658012152619,112.286617533357,1
"300","Ptuh","USP34",3635.71667643083,864.963768712672,1
"301","Ptuh","USP39",370.651548213757,90.7178715899193,1
"302","Ptuh","USP40",377.74839545415,126.019596385462,1
"303","Ptuh","USP47",3579.69565458403,1064.86514225885,1
"304","Ptuh","USP48",330.038524840934,59.825344994715,1
"305","Ptuh","USP5",7548.80667944152,3009.27347582721,1
"306","Ptuh","USP7",4279.86049360661,677.475124124932,1
"307","Ptuh","VCPIP1",798.013702804311,254.114640103882,1
"308","Ptuh","VIRMA",1874.55536244343,435.783840651428,1
"309","Ptuh","WDR5",1154.93190269871,546.353403283179,1
"310","Ptuh","WEE1",93.133070932635,52.288390107432,1
"311","Ptuh","WTAP",1398.23426117347,404.985714970864,1
"312","Ptuh","XPO1",3006.37404399387,819.132320241835,1
"313","Ptuh","XPO5",838.583662953516,87.3834485974701,1
"314","Ptuh","YBX1",44696.2566596867,9963.63524563736,1
"315","Ptuh","YTHDC1",15338.036972572,6093.9893915179,1
"316","Ptuh","YTHDC2",991.331998076461,490.346821125426,1
"317","Ptuh","YTHDF",4201.06781956684,1334.91496277475,1
"318","Ptuh","YWHAQ",10155.1045132927,4218.36145899204,1
"319","Ptuh","ZC3H12",6580.05916025841,2369.35632407238,2
"320","Ptuh","ZCCHC4",1193.32312710404,347.579694392914,1
"321","Ptuh","ZFC3H1",2319.96975539411,1129.0761760926,11
"322","Ptuh","ZRANB1",1583.76857467697,703.415954390045,1
