transcript_id,RNA-POR-71,RNA-POR-73,RNA-POR-76,RNA-POR-79,RNA-POR-82
Peve_00023464,2575,806,3007,2694,3410
Peve_00005539,0,0,6,0,0
Peve_00005538,0,0,0,0,0
Peve_00013860,0,13,0,0,0
Peve_00005533,120,10,196,82,38
Peve_00005532,11,20,0,8,19
Peve_00005531,34,23,90,45,45
Peve_00005530,68,12,156,78,214
Peve_00005537,0,0,0,0,0
Peve_00005536,74,0,50,32,40
Peve_00005535,0,0,0,0,26
Peve_00005534,0,0,0,3,0
Peve_00036166,0,0,57,22,25
Peve_00009409,0,0,0,0,0
Peve_00009408,0,0,0,0,0
Peve_00036167,308,138,279,119,528
Peve_00009403,0,0,0,0,0
Peve_00009402,0,0,0,0,0
Peve_00009401,0,0,0,0,6
Peve_00009400,0,0,0,7,0
Peve_00009407,0,0,0,0,0
Peve_00009406,0,0,0,0,0
Peve_00009405,104,0,9,16,287
Peve_00001168,0,0,0,0,0
Peve_00001169,376,99,915,377,503
Peve_00036160,6682,1709,1363,2581,7463
Peve_00013869,0,0,0,0,0
Peve_00006792,939,761,1054,509,981
Peve_00028300,7,0,56,0,9
Peve_00001162,196,100,450,84,205
Peve_00012270,2150,1962,1245,782,2541
Peve_00012271,2940,1273,3326,977,3217
Peve_00012272,6151,3875,1586,2923,6472
Peve_00006791,48,3,13,4,73
Peve_00012274,228,69,475,124,272
Peve_00012275,0,0,0,0,0
Peve_00012276,7,24,248,29,27
Peve_00012277,0,0,0,0,0
Peve_00012278,1436,326,2709,1508,1881
Peve_00012279,305,137,768,261,553
Peve_00030584,617,556,201,157,165
Peve_00030585,640,521,622,110,744
Peve_00030582,8,28,12,0,3
Peve_00030583,423,136,44,153,47
Peve_00030580,3033,1094,2353,2481,3303
Peve_00001165,2892,894,1052,1181,4643
Peve_00037125,0,0,0,0,0
Peve_00037124,0,30,133,23,34
Peve_00038359,14,0,513,119,0
Peve_00038358,176,0,258,19,125
Peve_00037121,45,16,69,16,56
Peve_00001166,7964,1958,4184,2507,8914
Peve_00037123,0,0,0,0,0
Peve_00029275,303,3,667,138,607
Peve_00038353,70,46,86,44,62
Peve_00029278,125,1460,2194,1188,1550
Peve_00029279,0,17,66,0,36
Peve_00038357,1280,74,189,193,704
Peve_00037128,0,0,0,0,0
Peve_00038355,155,102,216,94,115
Peve_00038354,7,54,0,131,190
Peve_00031985,0,0,0,37,0
Peve_00031984,8,0,6,0,0
Peve_00031987,7,0,0,0,3
Peve_00031986,290,50,574,101,159
Peve_00031981,359,32,873,235,381
Peve_00031980,12,58,29,0,30
Peve_00031983,10,0,0,0,0
Peve_00031982,10,37,7,10,36
Peve_00031989,0,0,0,0,0
Peve_00031988,0,0,0,0,0
Peve_00030634,0,0,0,0,0
Peve_00030635,609,459,570,404,2815
Peve_00030636,2,0,0,0,0
Peve_00030637,173,44,383,126,329
Peve_00030631,0,0,0,0,0
Peve_00030632,10,0,459,82,13
Peve_00030633,14,0,77,41,19
Peve_00030638,183,53,252,93,105
Peve_00030639,26,0,358,273,68
Peve_00033583,248,177,484,174,262
Peve_00033582,96,37,237,25,53
Peve_00033581,4,0,0,0,0
Peve_00033580,152,22,388,195,48
Peve_00033586,720,216,2482,515,745
Peve_00033585,8448,444,1765,2883,6898
Peve_00033584,3,0,119,13,0
Peve_00033589,1151,549,2066,747,1380
Peve_00033588,0,0,0,0,0
Peve_00023539,14,9,60,21,16
Peve_00023538,135,94,405,85,127
Peve_00023536,513,366,730,306,734
Peve_00023535,133,30,2089,45,14
Peve_00023534,161,0,823,120,612
Peve_00023533,87,47,617,71,63
Peve_00023532,1,2,0,0,13
Peve_00023531,0,0,0,0,0
Peve_00023530,0,0,0,0,0
Peve_00036294,1924,1364,3139,1439,2862
Peve_00036295,165,165,173,213,361
Peve_00036296,131,0,91,0,18
Peve_00036290,335,0,0,25,32
Peve_00036291,0,0,0,0,0
Peve_00036292,13,0,80,0,10
Peve_00036293,0,0,0,0,0
Peve_00036298,0,0,0,0,0
Peve_00036299,412,50,162,47,219
Peve_00032984,0,0,0,0,0
Peve_00032985,222,2217,235,89,772
Peve_00032986,690,100,2039,652,1418
Peve_00032987,1126,85,2114,876,1830
Peve_00032980,0,0,0,0,0
Peve_00032981,952,49,252,103,883
Peve_00032982,1296,54,337,141,1868
Peve_00022986,0,0,0,0,0
Peve_00032988,167,56,490,96,291
Peve_00032989,854,724,449,471,1072
Peve_00036742,0,2,0,0,52
Peve_00036743,0,0,37,0,25
Peve_00036740,1004,730,1524,1072,1849
Peve_00036741,59,49,181,37,252
Peve_00036746,2,0,57,8,5
Peve_00036747,326,227,772,181,233
Peve_00036744,4,0,4,0,89
Peve_00036745,12,0,51,0,60
Peve_00036748,1921,1236,2143,1186,2383
Peve_00036749,18,0,0,0,20
Peve_00032672,0,0,0,0,0
Peve_00032673,9,9,128,0,25
Peve_00032670,307,79,103,165,143
Peve_00032671,0,13,72,117,567
Peve_00032676,0,30,51,6,0
Peve_00032677,615,190,384,318,1145
Peve_00032674,5,17,19,3,2
Peve_00032675,424,384,778,138,5
Peve_00032678,4427,2078,1896,2435,5284
Peve_00032679,291,158,1097,357,411
Peve_00012915,0,0,0,0,0
Peve_00012917,0,0,0,0,0
Peve_00012916,0,0,0,0,2
Peve_00012911,47,46,331,147,23
Peve_00031218,0,0,0,0,0
