#Position (bp)	insert size
1.57614282E8	119.12087153083009
1.579231865E8	112.48442661317286
1.58231933E8	113.67602224484223
1.584426105E8	112.94654867256637
1.585967505E8	113.34442450405005
1.58848531E8	113.69787410001946
1.591563585E8	113.67619990585791
1.594640045E8	113.57394566329431
1.597716275E8	114.26423586327226
1.59966958E8	112.21097872340425
1.601207075E8	113.54833518020158
1.6038667E8	117.20269022626877
1.606941195E8	114.30244022676855
1.610014545E8	115.45657026638226
1.61308537E8	113.83937098337701
1.614899965E8	114.59450274862569
1.61643288E8	114.14684556831376
1.61921752E8	122.80143977220317
1.6222794E8	113.13584139914451
1.625339375E8	114.48780850431163
1.62839779E8	118.4676982014478
1.630100745E8	112.64477211796246
1.631628235E8	113.47559775082175
1.63450859E8	113.8691987993535
1.637562665E8	120.05283759075498
1.64061605E8	113.67660632625967
1.64366383E8	112.8044346329903
1.64527766E8	118.10376188507648
1.646792005E8	113.11957673925576
1.649725525E8	115.0668247686667
1.652748325E8	114.58746295345796
1.655770255E8	115.15328275536187
1.658791315E8	112.7388443410663
1.660383435E8	114.81005221932115
1.661892005E8	114.53265352453744
1.664827105E8	113.67418809154329
1.667843725E8	114.70270548473984
1.670856875E8	114.23462137737613
1.673865565E8	114.33369030898876
1.675464885E8	114.08467824310522
1.676966325E8	112.76936550184597
1.67987351E8	113.61899781122281
1.682873765E8	114.70680023116932
1.68587039E8	114.97753665263464
1.68886505E8	113.11081035037574
1.69050881E8	114.4909594095941
1.692005035E8	113.5778175313059
1.694847495E8	115.85428073234525
1.697830975E8	114.3166327448289
1.70081113E8	113.0895698087077
1.703789625E8	113.37313582391155
1.70551458E8	115.03212463808079
1.70700247E8	118.97656065030384
1.709741205E8	114.12222436763854
1.712713645E8	116.15731183506244
1.715683905E8	115.32838923004252
1.718648385E8	113.81466874182024
1.72048696E8	112.93101860379444
1.72196607E8	113.23081473043135
1.72456311E8	116.60001220963952
1.727516065E8	113.10736958321833
1.730467615E8	113.2852168457376
1.733418605E8	114.76671556998377
1.735417585E8	114.01368662351672
1.736892645E8	114.94891179839634
1.739317365E8	113.19246326352977
1.7422636E8	112.64672723198125
1.745208635E8	114.18836246550138
1.748152145E8	115.37798335796974
1.75032996E8	113.52467555015409
1.751801125E8	114.53478202064831
1.754036335E8	114.15127341920375
1.7569769E8	117.48303878815699
1.75991262E8	113.58179181341936
1.762838885E8	113.50802340301776
1.765215525E8	111.69773755656108
1.766673725E8	130.3268039176494
1.768671995E8	115.63611223032123
1.77157916E8	115.184487827437
1.77448016E8	114.1666834667258
1.77737956E8	114.84559302578103
1.78002786E8	112.93766414470824
1.781473515E8	114.34598867850869
1.783165105E8	113.40320828559099
1.786053095E8	113.513877752947
1.788939445E8	112.64097463181433
1.79182487E8	113.48240819275594
1.794707895E8	114.82766538563797
1.79623506E8	112.26600985221675
1.797675345E8	113.35363823715916
1.800469015E8	118.32763925551053
1.803348925E8	114.57830580508065
1.80622459E8	113.17050046005521
1.80909515E8	116.1676198512407
1.810973385E8	115.41889870836165
1.81240634E8	116.23511801594555
