Orthogroup	Species	Pocillopora_meandrina_HIv1.genes.pep	Orthologs
OG0000045	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___TS.g28748.t1	Peve_00020882, Peve_00043458, Peve_00011943, Peve_00039441, Peve_00036220, Peve_00042446, Peve_00042957, Peve_00042207, Peve_00029830, Peve_00003095, Peve_00033011, Peve_00033014, Peve_00000306, Peve_00044253, Peve_00034653, Peve_00004999, Peve_00044800
OG0000047	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g18919.t1b	FUN_024298-T1, FUN_024294-T1, FUN_024318-T1, FUN_024283-T1, FUN_024266-T1, FUN_024229-T1, FUN_026907-T1, FUN_024256-T1, FUN_024302-T1, FUN_024311-T1, FUN_024275-T1, FUN_024263-T1, FUN_024291-T1, FUN_024326-T1, FUN_024253-T3, FUN_024253-T2, FUN_024253-T1, FUN_024305-T1, FUN_024259-T1, FUN_024231-T1, FUN_024309-T1, FUN_024273-T1, FUN_024241-T1, FUN_024271-T1, FUN_024307-T1, FUN_024236-T1, FUN_024293-T1, FUN_024262-T1, FUN_024238-T1, FUN_024269-T1, FUN_024225-T1, FUN_024228-T1, FUN_024292-T1, FUN_024240-T1, FUN_024235-T1, FUN_024261-T1, FUN_024304-T1, FUN_024258-T1
OG0000047	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g18919.t1b	Peve_00031178, Peve_00016346, Peve_00031176, Peve_00016344, Peve_00028682
OG0000049	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g5928.t1a	FUN_009417-T1, FUN_031228-T1, FUN_009400-T1, FUN_009397-T3, FUN_009397-T2
OG0000049	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g5928.t1a	Peve_00030897, Peve_00005436, Peve_00031806, Peve_00005437, Peve_00013651, Peve_00013676, Peve_00015471, Peve_00018441, Peve_00013650, Peve_00013684, Peve_00013682, Peve_00005443, Peve_00005442, Peve_00031807, Peve_00028097, Peve_00013681, Peve_00005438, Peve_00013674, Peve_00013683, Peve_00013679, Peve_00005444, Peve_00005439, Peve_00028099, Peve_00005440, Peve_00028098, Peve_00005441, Peve_00028100
OG0000053	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___TS.g23872.t1	FUN_039411-T1, FUN_039364-T1, FUN_031376-T1, FUN_031402-T1, FUN_031367-T1, FUN_031368-T3, FUN_031368-T2, FUN_031329-T1, FUN_031341-T1, FUN_031407-T1, FUN_031368-T1, FUN_031416-T1, FUN_039326-T1, FUN_039326-T2, FUN_031408-T1, FUN_039340-T1, FUN_039412-T1, FUN_031355-T1, FUN_031388-T1, FUN_031393-T1, FUN_031317-T1, FUN_031412-T1, FUN_031415-T1, FUN_039410-T1, FUN_031328-T1, FUN_031366-T1, FUN_039399-T1, FUN_031420-T1, FUN_031335-T1, FUN_031375-T1, FUN_031380-T1, FUN_031424-T1, FUN_031347-T1, FUN_031353-T1, FUN_039372-T1, FUN_039392-T1, FUN_039325-T1, FUN_031358-T1, FUN_039373-T1, FUN_031354-T1, FUN_031330-T1
OG0000054	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g3228.t1, Pocillopora_meandrina_HIv1___RNAseq.g3234.t1	Peve_00017319, Peve_00042028, Peve_00042766, Peve_00038267, Peve_00027934, Peve_00036858, Peve_00017328, Peve_00013061, Peve_00024089, Peve_00013060, Peve_00017311, Peve_00036857, Peve_00017317, Peve_00017312, Peve_00002754, Peve_00035260, Peve_00017316, Peve_00017322, Peve_00017320, Peve_00017324, Peve_00017323, Peve_00042026, Peve_00025828, Peve_00042038, Peve_00042027, Peve_00042031, Peve_00024500, Peve_00028876, Peve_00024082, Peve_00024080, Peve_00024087, Peve_00024086, Peve_00017129, Peve_00017128, Peve_00024765, Peve_00024767, Peve_00017127, Peve_00013059, Peve_00024083, Peve_00013062
OG0000064	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___RNAseq.g6222.t1, Pocillopora_meandrina_HIv1___RNAseq.g12945.t1	FUN_045432-T1
OG0000064	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1___RNAseq.g6222.t1, Pocillopora_meandrina_HIv1___RNAseq.g12945.t1	Peve_00040264, Peve_00035586, Peve_00000299, Peve_00014962
OG0000064	Apulchra-genome.pep	Pocillopora_meandrina_HIv1___TS.g23490.t1	FUN_044428-T1
