Orthogroup	Species	Apulchra-genome.pep	Orthologs
OG0000027	Porites_evermanni_v1.annot.pep	FUN_029565-T1, FUN_029565-T2	Peve_00028932
OG0000027	Porites_evermanni_v1.annot.pep	FUN_029566-T1	Peve_00028950, Peve_00023396
OG0000027	Porites_evermanni_v1.annot.pep	FUN_029678-T1, FUN_029676-T1, FUN_029559-T1, FUN_029609-T1, FUN_029604-T1, FUN_029575-T1, FUN_029582-T1, FUN_029611-T1, FUN_029592-T1, FUN_029655-T1, FUN_029589-T1, FUN_029602-T1, FUN_029596-T1, FUN_029652-T1, FUN_029646-T1, FUN_029607-T1, FUN_029598-T1, FUN_029594-T1, FUN_029564-T1, FUN_029560-T1, FUN_029578-T1, FUN_029600-T1	Peve_00012803, Peve_00012799
OG0000031	Pocillopora_meandrina_HIv1.genes.pep	FUN_002494-T1, FUN_002625-T1, FUN_002503-T1, FUN_002523-T1, FUN_002561-T1, FUN_002501-T1, FUN_002484-T1, FUN_002499-T1, FUN_002475-T1, FUN_002558-T1, FUN_002534-T1, FUN_002628-T2, FUN_002554-T1, FUN_002531-T1, FUN_006784-T1, FUN_006788-T1, FUN_002539-T1, FUN_002481-T1, FUN_002543-T2, FUN_002543-T5, FUN_002513-T1, FUN_002553-T1, FUN_002529-T1, FUN_002567-T1, FUN_002560-T1, FUN_018022-T1, FUN_002622-T1, FUN_002628-T1, FUN_002543-T3, FUN_002504-T1, FUN_002517-T1, FUN_002565-T1, FUN_002575-T1, FUN_002495-T1, FUN_002490-T1, FUN_002527-T1, FUN_002536-T1, FUN_002560-T2, FUN_002476-T1, FUN_002492-T1, FUN_002626-T1, FUN_002526-T1, FUN_002546-T1, FUN_002508-T2, FUN_002543-T1, FUN_002573-T1, FUN_002572-T1, FUN_002508-T1, FUN_002480-T1, FUN_002480-T2, FUN_002515-T1, FUN_002543-T4	Pocillopora_meandrina_HIv1___RNAseq.g284.t1
OG0000040	Pocillopora_meandrina_HIv1.genes.pep	FUN_044850-T1	Pocillopora_meandrina_HIv1___RNAseq.g3379.t1, Pocillopora_meandrina_HIv1___TS.g9288.t1, Pocillopora_meandrina_HIv1___RNAseq.g25327.t1
OG0000040	Porites_evermanni_v1.annot.pep	FUN_044850-T1	Peve_00002262, Peve_00009119, Peve_00017947, Peve_00016251, Peve_00021721, Peve_00041785, Peve_00017670, Peve_00016779, Peve_00004851, Peve_00043535, Peve_00004582, Peve_00034220, Peve_00032487, Peve_00030513, Peve_00026883, Peve_00039539, Peve_00044435, Peve_00026859, Peve_00028892, Peve_00041543, Peve_00038591, Peve_00040815, Peve_00040293, Peve_00023212, Peve_00040294, Peve_00011998, Peve_00000363, Peve_00005518, Peve_00024018, Peve_00029889, Peve_00020815, Peve_00010455, Peve_00004852, Peve_00012472, Peve_00012589, Peve_00003500, Peve_00026775, Peve_00030512, Peve_00039767, Peve_00028123, Peve_00001017, Peve_00040590, Peve_00044183
OG0000042	Porites_evermanni_v1.annot.pep	FUN_039489-T1	Peve_00042810
OG0000042	Pocillopora_meandrina_HIv1.genes.pep	FUN_017214-T1, FUN_005359-T1, FUN_030112-T1, FUN_010904-T1, FUN_013549-T1, FUN_006523-T1, FUN_026293-T1	Pocillopora_meandrina_HIv1___RNAseq.g28608.t1a
OG0000042	Porites_evermanni_v1.annot.pep	FUN_042079-T1	Peve_00014060, Peve_00039409
OG0000043	Porites_evermanni_v1.annot.pep	FUN_011106-T1, FUN_018687-T1, FUN_040887-T1, FUN_037033-T1, FUN_020930-T1, FUN_011071-T1, FUN_039762-T1, FUN_036534-T1, FUN_026606-T1, FUN_036776-T1, FUN_015676-T1, FUN_019857-T1, FUN_019675-T1, FUN_001931-T1, FUN_019679-T1, FUN_002839-T1, FUN_018895-T1, FUN_007595-T1, FUN_040459-T1, FUN_024920-T1, FUN_019861-T1, FUN_015717-T1, FUN_040981-T1, FUN_040355-T1, FUN_006347-T1, FUN_011152-T1, FUN_039103-T1, FUN_011494-T1, FUN_009912-T1, FUN_002398-T1, FUN_015877-T1, FUN_015617-T1, FUN_015681-T1, FUN_005702-T1, FUN_037816-T1, FUN_030637-T1, FUN_006355-T1, FUN_027642-T1, FUN_027639-T1, FUN_039998-T1, FUN_027649-T1, FUN_009596-T1, FUN_027641-T1, FUN_019569-T1, FUN_013816-T1	Peve_00032816
