#Position (bp)	Coverage
1.266250255E8	55.41180306973286
1.275664755E8	57.99826544160603
1.285079255E8	43.49827500132774
1.294493755E8	63.72778692442509
1.303908255E8	53.005914281162035
1.313322755E8	52.09151202931648
1.322737255E8	49.000639439162995
1.332151755E8	79.03212597588826
1.341566255E8	57.283004939189546
1.350980755E8	55.96825003983217
1.360395255E8	44.711098836900526
1.369809755E8	56.345111264538744
1.379224255E8	46.758030697328586
1.385269295E8	70.96880302588598
1.389976545E8	64.23218260492779
1.398053255E8	59.837670614477666
1.407467755E8	60.34238568166127
1.416882255E8	70.30786127781613
1.426296755E8	71.8699091826438
1.435711255E8	43.73336342875352
1.445125755E8	59.61744118115673
1.454540255E8	66.97601890700516
1.463954755E8	53.499254341706944
1.473369255E8	66.70429125285465
1.482783755E8	79.75835891444049
1.492198255E8	75.54979021721812
1.501612755E8	36.76804822348505
1.50869654E8	26.613319391466987
1.51340379E8	26.086080880759766
1.520441755E8	48.44749163524351
1.529856255E8	26.294058101864145
1.539270755E8	24.2526846885124
1.548685255E8	36.63303202506771
1.558099755E8	47.91828456104945
1.567514255E8	43.12716235594031
1.576928755E8	39.509469435445325
1.586343255E8	39.257894736842104
1.595757755E8	25.57145998194275
1.605172255E8	18.65574167507568
1.614586755E8	28.272316108131076
1.624001255E8	14.221558234638058
1.62980695E8	21.775154878032126
1.6345142E8	62.459542701808495
1.642830255E8	63.158944181847154
1.652244755E8	65.24475118168782
1.661659255E8	56.28843061235329
1.671073755E8	34.68369748791758
1.680488255E8	60.182331509904934
1.689902755E8	33.251288969143346
1.699317255E8	26.826820330341494
1.708731755E8	41.31199532635828
1.718146255E8	69.70159859790748
1.727560755E8	62.392257687609536
1.736975255E8	46.18476286579213
1.745109635E8	62.011141975939054
1.749816885E8	76.1311947317439
1.755804255E8	72.63216633915768
1.765218755E8	59.876627542620426
1.774633255E8	65.61915555791597
1.784047755E8	56.28732487120931
1.793462255E8	69.17281002708587
1.802876755E8	71.31995113920017
1.812291255E8	56.66528652610335
1.821705755E8	66.73309044558926
1.831120255E8	64.64190663338468
1.840534755E8	65.85404747995113
1.849397025E8	68.21408561210295
1.854104275E8	33.75286565380367
1.859363755E8	70.37025970577301
1.868778255E8	54.91194434117585
1.878192755E8	59.41833767061448
1.887607255E8	49.675342291146634
1.897021755E8	61.2261713314568
1.906436255E8	59.00598332359658
1.915850755E8	50.37164374103776
1.925265255E8	50.234984332678316
1.934679755E8	40.42836581868394
1.944094255E8	56.78984120240055
1.95129994E8	65.71393692451474
1.95600719E8	33.3826101325824
1.962923255E8	29.687669021190718
1.972337755E8	14.346725795315736
1.981752255E8	13.25982261405279
1.991166755E8	11.513687397100218
2.000581255E8	36.62185033724574
2.009995755E8	60.96849221944872
2.019410255E8	55.25295979605927
2.028824755E8	66.88201072813213
2.038239255E8	67.2209889001009
2.047653755E8	69.0482808433799
2.05281456E8	41.991787104099835
2.05752181E8	65.8110983509631
2.066482755E8	48.0734930160922
2.075897255E8	61.02952785596686
2.085311755E8	68.69315311487598
2.094726255E8	47.79275054437304
2.104140755E8	63.85897817196877
2.113555255E8	63.78567210154549
2.122969755E8	48.499668596314194
2.132384255E8	60.47996388549578
2.141798755E8	68.42328748207552
2.14757119E8	73.45461586484977
2.15227844E8	54.52756746516056
2.160627755E8	59.5021211960274
2.170042255E8	62.64917839502895
2.179456755E8	56.14726963726167
2.188871255E8	57.75251155133039
2.198285755E8	61.8682914652929
2.207700255E8	36.80799617611132
2.217114755E8	51.95196983376706
2.226529255E8	30.90281374475543
2.235943755E8	74.72183015561103
2.241609715E8	62.038014623817425
2.246316965E8	65.17932448366564
2.254772755E8	41.85518402464284
2.264187255E8	53.618272876945134
2.273601755E8	43.36112592277869
2.283016255E8	32.79989484306124
2.292430755E8	58.03110627223963
2.301845255E8	65.720823198258
2.311259755E8	68.38187476764566
2.320674255E8	39.586885124010834
2.330088755E8	62.75100855063997
2.33512304E8	64.44067148776125
2.33983029E8	58.059243667262905
2.348917755E8	51.21437144829784
2.358332255E8	47.39852142970949
2.367746755E8	66.93443942854108
2.377161255E8	59.33672738860269
2.386575755E8	68.21607201657018
2.395990255E8	71.03296723139837
2.405404755E8	56.597141643209945
2.414819255E8	7.669721174783579
2.423860015E8	50.28948012119506
2.428567265E8	35.847848771873494
2.433648255E8	51.59173190291572
2.443062755E8	24.657537840565087
2.452477255E8	74.75867332306548
2.461891755E8	67.65578416272771
2.471306255E8	71.92758192150406
2.480720755E8	58.22326623824951
2.490135255E8	56.89416219661161
2.499549755E8	70.10116416166552
2.508964255E8	64.54122895533486
2.513853295E8	50.05297321084768
2.518560545E8	69.33315397771719
2.527793255E8	67.82507408784322
2.537207755E8	56.89977056667906
2.546622255E8	42.632354347017895
2.556036755E8	57.45253598173031
2.565451255E8	64.34058739178926
2.574865755E8	43.182044718253756
2.582367915E8	42.22949218400593
2.587075165E8	48.343414351004526
2.593694755E8	62.39477932975729
2.603109255E8	60.86053003345903
2.612523755E8	60.55595517552711
2.621938255E8	50.66091879547506
2.631352755E8	45.295718306867066
2.640767255E8	54.649177332837645
2.649058955E8	80.14592475833112
2.653766205E8	21.658536693979336
2.659596255E8	67.54284773487706
2.669010755E8	60.98928036539381
2.678425255E8	61.30036645599873
2.687839755E8	56.05961017579266
2.697254255E8	59.81919804556801
2.706668755E8	62.433022465346006
2.71474023E8	58.660166903224365
2.71944748E8	17.833722380447124
2.725497755E8	55.707857029050935
2.734912255E8	51.83502788252164
2.744326755E8	43.738044505815495
2.753741255E8	53.009860321843966
2.763155755E8	48.64985394869616
2.772570255E8	59.89534653991184
2.77928726E8	38.12178101310856
2.78399451E8	60.48502036148353
2.791399255E8	41.90082850921451
2.800813755E8	62.41974826066175
2.810228255E8	34.568272345849486
2.819642755E8	21.615894630622975
2.829057255E8	48.699454033671465
2.836366105E8	57.36841174661747
2.841073355E8	12.854113931565076
2.847886255E8	13.091227362047904
2.857300755E8	30.990088692973604
2.866715255E8	39.588742896595676
2.876129755E8	44.32808752456317
2.885544255E8	47.67766105475596
2.89342109E8	50.534215047080295
2.89812834E8	47.47748371719458
2.904373255E8	39.05368421052631
2.913787755E8	50.083441499814114
2.923202255E8	52.68557650432843
2.932616755E8	56.5248839556004
2.942031255E8	30.693910457273354
2.950462245E8	46.43323513456901
2.955169495E8	53.58896706693374
2.960860255E8	70.16686388018482
2.970274755E8	72.97808699346753
2.979689255E8	67.07375962610867
2.989103755E8	58.276077327526686
2.998518255E8	59.29240002124383
3.006943635E8	65.92092261432494
3.011650885E8	66.16252830799094
3.017347255E8	55.43831642678847
3.026761755E8	66.79098093366615
3.036176255E8	28.434345955706622
3.045590755E8	52.79193903021934
