,source,target,PCC.cor,PCC_magnitude,PCC_direction,p_value
71,peve-mir-100,Peve_00000226,0.999909726776791,0.999909726776791,1,0.00855416971793389
72,peve-mir-100,Peve_00000536,0.999910457964593,0.999910457964593,1,0.0085194555748794
73,peve-mir-100,Peve_00001544,0.999909726776791,0.999909726776791,1,0.00855416971793915
74,peve-mir-100,Peve_00001636,0.999909726776791,0.999909726776791,1,0.00855416971793915
75,peve-mir-100,Peve_00001859,0.999909726776791,0.999909726776791,1,0.00855416971793915
76,peve-mir-100,Peve_00002111,0.999909726776791,0.999909726776791,1,0.00855416971793389
77,peve-mir-100,Peve_00002130,0.999909726776791,0.999909726776791,1,0.00855416971793389
78,peve-mir-100,Peve_00002245,0.999909726776791,0.999909726776791,1,0.00855416971793915
79,peve-mir-100,Peve_00003793,0.999909726776791,0.999909726776791,1,0.00855416971793915
80,peve-mir-100,Peve_00004232,0.999909726776791,0.999909726776791,1,0.00855416971793915
81,peve-mir-100,Peve_00005112,0.999914846341146,0.999914846341146,1,0.00830806449585902
82,peve-mir-100,Peve_00004764,0.999909726776791,0.999909726776791,1,0.00855416971794441
83,peve-mir-100,Peve_00005214,0.999909726776791,0.999909726776791,1,0.00855416971792863
84,peve-mir-100,Peve_00005941,0.999909726776791,0.999909726776791,1,0.00855416971793915
85,peve-mir-100,Peve_00007688,0.99996576416501,0.99996576416501,1,0.0052678915078678
86,peve-mir-100,Peve_00008195,0.999909726776791,0.999909726776791,1,0.00855416971793389
87,peve-mir-100,Peve_00008266,0.999909726776791,0.999909726776791,1,0.00855416971793915
88,peve-mir-100,Peve_00008387,0.999946883222669,0.999946883222669,1,0.0065616475953019
89,peve-mir-100,Peve_00009220,0.999909726776791,0.999909726776791,1,0.00855416971793915
90,peve-mir-100,Peve_00008801,0.999909726776791,0.999909726776791,1,0.00855416971793915
91,peve-mir-100,Peve_00009822,0.999955273448146,0.999955273448146,1,0.00602115002709614
92,peve-mir-100,Peve_00009873,0.999959878657719,0.999959878657719,1,0.00570274956330863
93,peve-mir-100,Peve_00010154,0.999910964622944,0.999910964622944,1,0.00849531807985483
94,peve-mir-100,Peve_00010305,0.999909726776791,0.999909726776791,1,0.00855416971793389
95,peve-mir-100,Peve_00010307,0.999909726776791,0.999909726776791,1,0.00855416971793915
96,peve-mir-100,Peve_00010322,0.999909726776791,0.999909726776791,1,0.00855416971794441
97,peve-mir-100,Peve_00010717,0.999909726776791,0.999909726776791,1,0.00855416971793915
98,peve-mir-100,Peve_00010778,0.999909726776791,0.999909726776791,1,0.00855416971793915
99,peve-mir-100,Peve_00011363,0.999909726776791,0.999909726776791,1,0.00855416971793915
100,peve-mir-100,Peve_00011528,0.999909726776791,0.999909726776791,1,0.00855416971793389
101,peve-mir-100,Peve_00011946,0.999909726776791,0.999909726776791,1,0.00855416971793915
102,peve-mir-100,Peve_00012115,0.999910871663019,0.999910871663019,1,0.00849975187831585
103,peve-mir-100,Peve_00013085,0.999909726776791,0.999909726776791,1,0.00855416971793915
104,peve-mir-100,Peve_00013573,0.999909726776791,0.999909726776791,1,0.00855416971793915
105,peve-mir-100,Peve_00014007,0.999909726776791,0.999909726776791,1,0.00855416971793389
106,peve-mir-100,Peve_00015040,0.999909726776791,0.999909726776791,1,0.00855416971793389
107,peve-mir-100,Peve_00016327,0.999909726776791,0.999909726776791,1,0.00855416971793915
108,peve-mir-100,Peve_00016655,0.999909726776791,0.999909726776791,1,0.00855416971793915
109,peve-mir-100,Peve_00017013,0.999909726776791,0.999909726776791,1,0.00855416971793389
110,peve-mir-100,Peve_00017537,0.99996273202871,0.99996273202871,1,0.00549622300675805
111,peve-mir-100,Peve_00017626,0.999909726776791,0.999909726776791,1,0.00855416971793915
112,peve-mir-100,Peve_00018050,0.999909726776791,0.999909726776791,1,0.00855416971793389
113,peve-mir-100,Peve_00018512,0.999909726776791,0.999909726776791,1,0.00855416971793389
114,peve-mir-100,Peve_00018567,0.999909726776791,0.999909726776791,1,0.00855416971793915
115,peve-mir-100,Peve_00019043,0.999909726776791,0.999909726776791,1,0.00855416971793915
116,peve-mir-100,Peve_00019304,0.999909726776791,0.999909726776791,1,0.00855416971793915
117,peve-mir-100,Peve_00019614,0.999909726776791,0.999909726776791,1,0.00855416971794441
118,peve-mir-100,Peve_00020003,0.999909726776791,0.999909726776791,1,0.00855416971794441
119,peve-mir-100,Peve_00020149,0.99989178672184,0.99989178672184,1,0.00936567997820576
120,peve-mir-100,Peve_00020151,0.999909726776791,0.999909726776791,1,0.00855416971793915
121,peve-mir-100,Peve_00020080,0.999909726776791,0.999909726776791,1,0.00855416971793389
122,peve-mir-100,Peve_00013358,0.999909726776791,0.999909726776791,1,0.00855416971793915
123,peve-mir-100,Peve_00020314,0.999909726776791,0.999909726776791,1,0.00855416971793389
124,peve-mir-100,Peve_00020723,0.999909726776791,0.999909726776791,1,0.00855416971794441
125,peve-mir-100,Peve_00020864,0.999909726776791,0.999909726776791,1,0.00855416971793915
126,peve-mir-100,Peve_00020874,0.999909726776791,0.999909726776791,1,0.00855416971793915
127,peve-mir-100,Peve_00021597,0.999909726776791,0.999909726776791,1,0.00855416971793915
128,peve-mir-100,Peve_00021762,0.999909726776791,0.999909726776791,1,0.00855416971793915
129,peve-mir-100,Peve_00021789,0.999909726776791,0.999909726776791,1,0.00855416971793389
130,peve-mir-100,Peve_00021681,0.999909726776791,0.999909726776791,1,0.00855416971794441
131,peve-mir-100,Peve_00022627,0.999909726776791,0.999909726776791,1,0.00855416971793389
132,peve-mir-100,Peve_00022730,0.999983602976637,0.999983602976637,1,0.00364567728204132
133,peve-mir-100,Peve_00022785,0.999909726776791,0.999909726776791,1,0.00855416971793915
134,peve-mir-100,Peve_00022766,0.999975210971309,0.999975210971309,1,0.00448255650740406
135,peve-mir-100,Peve_00022891,0.999909726776791,0.999909726776791,1,0.00855416971793389
136,peve-mir-100,Peve_00023166,0.999909726776791,0.999909726776791,1,0.00855416971793915
137,peve-mir-100,Peve_00024385,0.999909726776791,0.999909726776791,1,0.00855416971793389
138,peve-mir-100,Peve_00024625,0.999909726776791,0.999909726776791,1,0.00855416971792863
139,peve-mir-100,Peve_00025704,0.999909726776791,0.999909726776791,1,0.00855416971793389
140,peve-mir-100,Peve_00026246,0.999909726776791,0.999909726776791,1,0.00855416971794441
141,peve-mir-100,Peve_00022430,0.999909726776791,0.999909726776791,1,0.00855416971793915
142,peve-mir-100,Peve_00027017,0.999999471445474,0.999999471445474,1,0.000654545796278981
143,peve-mir-100,Peve_00028079,0.999909726776791,0.999909726776791,1,0.00855416971794441
144,peve-mir-100,Peve_00028300,0.999909726776791,0.999909726776791,1,0.00855416971793915
145,peve-mir-100,Peve_00028477,0.999909726776791,0.999909726776791,1,0.00855416971793915
146,peve-mir-100,Peve_00028884,0.999909726776791,0.999909726776791,1,0.00855416971793915
147,peve-mir-100,Peve_00030753,0.999964126437774,0.999964126437774,1,0.00539241950765597
