CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
118	32230	1533324	2.06	1565554
119	32246	1499690	2.10	1531936
120	31052	1473142	2.06	1504194
121	31204	1452643	2.10	1483847
122	30648	1417567	2.12	1448215
123	29886	1393354	2.10	1423240
124	30127	1356587	2.17	1386714
125	29621	1324436	2.19	1354057
126	29524	1300403	2.22	1329927
127	28970	1271877	2.23	1300847
128	29293	1243316	2.30	1272609
129	28498	1221612	2.28	1250110
130	28050	1197746	2.29	1225796
131	28039	1167062	2.35	1195101
132	27391	1146152	2.33	1173543
133	27070	1119197	2.36	1146267
134	26836	1092897	2.40	1119733
135	26341	1068929	2.40	1095270
136	26089	1045728	2.43	1071817
137	26038	1024653	2.48	1050691
138	24985	1003817	2.43	1028802
139	24931	981832	2.48	1006763
140	24328	957389	2.48	981717
141	23723	937319	2.47	961042
142	23036	913915	2.46	936951
143	22644	894134	2.47	916778
144	22778	874482	2.54	897260
145	22534	855873	2.57	878407
146	22243	844040	2.57	866283
147	22445	829540	2.63	851985
148	22325	811911	2.68	834236
149	23296	794011	2.85	817307
150	24281	802078	2.94	826359
151	34185	730989	4.47	765174

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	2071754	7030166	22.76	9101920
2	1914982	9363831	16.98	11278813
3	1398032	8604659	13.98	10002691
4	1296272	8190421	13.66	9486693
5	654641	9776406	6.28	10431047
6	577790	11238704	4.89	11816494
7	523836	12791712	3.93	13315548
8	518657	12388051	4.02	12906708
9	431169	12011614	3.47	12442783
10	405379	11751667	3.33	12157046
11	451523	11594184	3.75	12045707
12	392215	11500795	3.30	11893010
13	378259	11499707	3.18	11877966
14	381422	11513875	3.21	11895297
15	378944	11536735	3.18	11915679
16	419490	11539984	3.51	11959474
17	366378	11470064	3.10	11836442
18	327975	11493591	2.77	11821566
19	351486	11518990	2.96	11870476
20	358221	11595166	3.00	11953387
21	335604	11664876	2.80	12000480
22	328525	11681972	2.74	12010497
23	320368	11745212	2.66	12065580
24	302350	11793096	2.50	12095446
25	292976	11852427	2.41	12145403
26	308255	11961059	2.51	12269314
27	287291	11960921	2.35	12248212
28	288644	12007697	2.35	12296341
29	305143	12032886	2.47	12338029
30	267652	12081549	2.17	12349201
31	284676	12146936	2.29	12431612
32	278475	12185872	2.23	12464347
33	264520	12193787	2.12	12458307
34	270641	12208197	2.17	12478838
35	271112	12252777	2.16	12523889
36	243822	12301862	1.94	12545684
37	254577	12276517	2.03	12531094
38	256810	12301507	2.04	12558317
39	250679	12303697	2.00	12554376
40	238861	12314012	1.90	12552873
41	245405	12361294	1.95	12606699
42	227623	12393112	1.80	12620735
43	228329	12359122	1.81	12587451
44	243617	12365468	1.93	12609085
45	208671	12351565	1.66	12560236
46	218702	12342327	1.74	12561029
47	228499	12272352	1.83	12500851
48	201039	12232294	1.62	12433333
49	216081	12202145	1.74	12418226
50	203647	12201890	1.64	12405537
51	197273	12162579	1.60	12359852
52	196688	12123930	1.60	12320618
53	206658	12074216	1.68	12280874
54	189702	12016921	1.55	12206623
55	188600	12000608	1.55	12189208
56	197282	11910066	1.63	12107348
57	184104	11826213	1.53	12010317
58	187719	11768047	1.57	11955766
59	196583	11689996	1.65	11886579
60	170464	11640267	1.44	11810731
61	182579	11545294	1.56	11727873
62	192853	11488515	1.65	11681368
63	176436	11375665	1.53	11552101
64	187718	11306609	1.63	11494327
65	185819	11215089	1.63	11400908
66	175943	11095754	1.56	11271697
67	186021	11001278	1.66	11187299
68	180799	10886376	1.63	11067175
69	179602	10779773	1.64	10959375
70	172721	10662030	1.59	10834751
71	188808	10580957	1.75	10769765
72	170837	10442703	1.61	10613540
73	180767	10311922	1.72	10492689
74	191480	10215478	1.84	10406958
75	172846	10099693	1.68	10272539
76	181084	9971177	1.78	10152261
77	181559	9835745	1.81	10017304
78	168447	9717735	1.70	9886182
79	179624	9585831	1.84	9765455
80	177583	9452548	1.84	9630131
81	170658	9338555	1.79	9509213
82	177536	9227233	1.89	9404769
83	182252	9116287	1.96	9298539
84	176145	8993906	1.92	9170051
85	172525	8870575	1.91	9043100
86	176303	8745466	1.98	8921769
87	170137	8602007	1.94	8772144
88	169955	8469041	1.97	8638996
89	182476	8332154	2.14	8514630
90	161838	8207762	1.93	8369600
91	174159	8070990	2.11	8245149
