Coords	Name	MIRNA	sRNA-ACR-140-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-145-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-150-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-173-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-178-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed
ptg000016l:12585435-12585864	Cluster_10107	N	0	40	0	82	387
ptg000016l:12589854-12590289	Cluster_10108	N	2	90	2	426	197
ptg000016l:12602395-12602814	Cluster_10109	N	2	62	71	0	1
ptg000016l:12658515-12659380	Cluster_10110	N	458	23	377	334	486
ptg000016l:12786551-12786978	Cluster_10111	N	0	0	8	0	96
ptg000016l:12841078-12842257	Cluster_10112	N	3673	180	28	626	938
ptg000016l:12856606-12857021	Cluster_10113	N	13	34	17	31	26
ptg000016l:12889390-12889813	Cluster_10114	N	21	61	52	33	16
ptg000016l:12976474-12976882	Cluster_10115	N	8	76	5	28	63
ptg000016l:12977211-12977640	Cluster_10116	N	8	152	3	41	39
ptg000016l:12978036-12978465	Cluster_10117	N	21	77	33	39	139
ptg000016l:12978869-12979297	Cluster_10118	N	5	131	10	10	12
ptg000016l:12980431-12980855	Cluster_10119	N	17	81	27	32	26
ptg000016l:12982665-12983093	Cluster_10120	N	4	169	30	3	13
ptg000016l:12983234-12983662	Cluster_10121	N	10	222	11	39	25
ptg000016l:12983999-12984419	Cluster_10122	N	16	82	10	49	14
ptg000016l:12985703-12986131	Cluster_10123	N	4	132	57	9	27
ptg000016l:12986648-12987076	Cluster_10124	N	7	172	15	36	26
ptg000016l:12987982-12988402	Cluster_10125	N	12	112	11	32	19
ptg000016l:12990255-12990683	Cluster_10126	N	5	125	55	7	31
ptg000016l:12991200-12991628	Cluster_10127	N	3	169	13	38	26
ptg000016l:12992766-12993193	Cluster_10128	N	5	145	4	12	21
ptg000017l:169863-170266	Cluster_10129	N	3	136	6	11	0
ptg000017l:224019-224618	Cluster_10130	N	98	3	12	14	898
ptg000017l:224728-225155	Cluster_10131	N	38	4	27	143	214
ptg000017l:262634-263056	Cluster_10132	N	32	74	6	7	2
ptg000017l:347445-347872	Cluster_10133	N	6	167	50	8	2
ptg000017l:548679-549159	Cluster_10134	N	8	0	325	0	768
ptg000017l:550569-550989	Cluster_10135	N	0	114	108	19	16
ptg000017l:558035-558462	Cluster_10136	N	14	45	22	0	16
ptg000017l:692920-693393	Cluster_10137	N	0	180	730	30	6
ptg000017l:1195317-1195734	Cluster_10138	N	195	5	21	0	44
ptg000017l:1377128-1378052	Cluster_10139	N	8	82	323	23	24
ptg000017l:1636286-1637802	Cluster_10140	N	1662	1945	1644	374	239
ptg000017l:1713696-1714125	Cluster_10141	N	14	4	137	620	5
ptg000017l:1787970-1788392	Cluster_10142	N	5	68	3	0	9
ptg000017l:1845447-1845875	Cluster_10143	N	9	34	421	3	48
ptg000017l:1845968-1846395	Cluster_10144	N	6	3	118	4	54
ptg000017l:1846424-1847762	Cluster_10145	N	2857	5557	2928	18	2161
ptg000017l:1848396-1848922	Cluster_10146	N	561	1730	938	0	1807
ptg000017l:1849328-1850076	Cluster_10147	N	631	701	438	4	445
ptg000017l:2002346-2002765	Cluster_10148	N	34	39	65	55	63
ptg000017l:2263319-2263869	Cluster_10149	N	149	1	0	3	219
ptg000017l:2264463-2265060	Cluster_10150	N	230	3	149	68	301
ptg000017l:2486702-2487115	Cluster_10151	N	43	4	2	50	20
ptg000017l:2552967-2553396	Cluster_10152	N	0	0	207	0	0
ptg000017l:2578869-2579296	Cluster_10153	N	163	0	20	1	0
ptg000017l:2600797-2601225	Cluster_10154	N	5	397	2	1	3
ptg000017l:2614867-2615286	Cluster_10155	N	22	28	15	26	14
ptg000017l:2701783-2702895	Cluster_10156	N	94	181	104	104	58
ptg000017l:2717242-2717840	Cluster_10157	N	561	22	29	25	18
ptg000017l:2717867-2718307	Cluster_10158	N	237	15	34	60	13
ptg000017l:2718934-2719379	Cluster_10159	N	310	50	20	100	22
ptg000017l:2959758-2960189	Cluster_10160	N	354	5	1	0	4
ptg000017l:2961146-2961576	Cluster_10161	N	2542	0	0	0	0
ptg000017l:3102480-3102907	Cluster_10162	N	1	0	31	121	23
ptg000017l:3747388-3747817	Cluster_10163	N	337	796	7	3	36
ptg000017l:4025408-4025837	Cluster_10164	N	26	43	103	15	4
ptg000017l:4028658-4029449	Cluster_10165	N	232	268	122	83	194
ptg000017l:4029760-4030184	Cluster_10166	N	69	80	70	29	57
ptg000017l:4030834-4031373	Cluster_10167	N	110	173	149	39	99
ptg000017l:4200725-4201154	Cluster_10168	N	1	199	13	3	28
ptg000017l:4337105-4337536	Cluster_10169	N	327	27	52	72	140
ptg000017l:4421409-4421892	Cluster_10170	N	131	74	120	42	46
ptg000017l:4480641-4481488	Cluster_10171	N	0	114	0	94	260
ptg000017l:4497158-4497585	Cluster_10172	N	22	96	2	0	62
ptg000017l:4607913-4608330	Cluster_10173	N	14	12	32	20	29
ptg000017l:4722843-4723270	Cluster_10174	N	0	131	0	19	6
ptg000017l:4723432-4723861	Cluster_10175	N	0	1	352	3	0
ptg000017l:4739154-4739570	Cluster_10176	N	1	126	3	3	2
ptg000017l:4775749-4776228	Cluster_10177	N	185	261	187	192	249
ptg000017l:4801629-4802055	Cluster_10178	N	11	44	45	43	10
ptg000017l:4869418-4869827	Cluster_10179	N	12	53	70	7	43
ptg000017l:4875478-4875966	Cluster_10180	N	20	79	121	6	50
ptg000017l:4952669-4953096	Cluster_10181	N	51	21	5	0	342
ptg000017l:4953192-4953625	Cluster_10182	N	216	3	811	9	244
ptg000017l:4971412-4971946	Cluster_10183	N	5	1008	18	7	8
ptg000017l:4974100-4974942	Cluster_10184	N	449	28	64	3	79
ptg000017l:4997311-4997758	Cluster_10185	N	0	231	6	14	127
ptg000017l:5008053-5008604	Cluster_10186	N	90	4	10	9	352
ptg000017l:5023750-5024479	Cluster_10187	N	12	251	13	346	19
ptg000017l:5025086-5025533	Cluster_10188	N	23	454	20	30	29
ptg000017l:5026318-5028313	Cluster_10189	N	14	2369	37	26	12
ptg000017l:5320427-5321109	Cluster_10190	N	129	686	25	15	291
ptg000017l:5321678-5322995	Cluster_10191	N	1	1278	515	1517	1450
ptg000017l:5337352-5337781	Cluster_10192	N	115	26	71	2	11
ptg000017l:5427116-5427542	Cluster_10193	N	1	1	174	1	1
ptg000017l:5467229-5467653	Cluster_10194	N	0	0	123	0	0
ptg000017l:5529433-5529980	Cluster_10195	N	190	183	225	110	305
ptg000017l:5628705-5629247	Cluster_10196	N	7106	1491	2014	4744	4147
ptg000017l:5932256-5932679	Cluster_10197	N	452	12	6	3	3
ptg000017l:5942550-5942977	Cluster_10198	N	58	0	56	0	68
ptg000017l:5948926-5949326	Cluster_10199	N	0	8	23	90	97
ptg000017l:5955640-5956070	Cluster_10200	N	37	4	3	124	65
ptg000017l:5956707-5957440	Cluster_10201	N	140	59	58	176	81
ptg000017l:5957671-5958096	Cluster_10202	N	128	25	66	35	72
ptg000017l:5958397-5959043	Cluster_10203	N	258	22	557	505	192
ptg000017l:5961589-5962019	Cluster_10204	N	5	10	149	83	81
ptg000017l:6001018-6001446	Cluster_10205	N	70	1	46	1286	92
ptg000017l:6364724-6365150	Cluster_10206	N	0	0	177	0	2
ptg000017l:6374963-6375054	Cluster_10207	Y	1884	5902	8611	4372	8704
ptg000017l:6379707-6380136	Cluster_10208	N	36	34	0	230	0
ptg000017l:6430630-6431054	Cluster_10209	N	1	0	199	54	29
ptg000017l:6543808-6544226	Cluster_10210	N	28	53	81	22	49
ptg000017l:6608289-6608717	Cluster_10211	N	5	399	3	13	2
ptg000017l:6621497-6621926	Cluster_10212	N	1	268	0	2	3
ptg000017l:6623120-6623529	Cluster_10213	N	0	145	1	3	8
ptg000017l:6626183-6626611	Cluster_10214	N	1	117	26	32	3
ptg000017l:6631372-6631801	Cluster_10215	N	0	378	42	57	31
ptg000017l:6680000-6680973	Cluster_10216	N	2153	2941	3224	340	1379
ptg000017l:6681308-6682446	Cluster_10217	N	868	1103	1558	959	1502
ptg000017l:6744577-6745001	Cluster_10218	N	3	56	33	2	4
ptg000017l:6750979-6751405	Cluster_10219	N	46	87	68	77	128
ptg000017l:6934830-6935259	Cluster_10220	N	53	21	78	57	234
ptg000017l:7072823-7073301	Cluster_10221	N	186	0	71	145	61
ptg000017l:7098014-7098443	Cluster_10222	N	4	227	37	5	1
ptg000017l:7183462-7183886	Cluster_10223	N	27	18	15	29	6
ptg000017l:7211148-7211567	Cluster_10224	N	0	0	439	1	0
ptg000017l:7383845-7384355	Cluster_10225	N	59	89	174	84	65
ptg000017l:7429306-7429739	Cluster_10226	N	11	41	47	20	210
ptg000017l:7460059-7460481	Cluster_10227	N	32	68	28	54	6
ptg000017l:7471118-7471210	Cluster_10228	Y	295	587	273	531	157
ptg000017l:7645362-7645791	Cluster_10229	N	73	156	0	0	5
ptg000017l:7712881-7713359	Cluster_10230	N	4441	4733	9583	5671	5517
ptg000017l:7718529-7719082	Cluster_10231	N	1097	385	1180	418	1605
ptg000017l:7725129-7725597	Cluster_10232	N	190	177	181	143	144
ptg000017l:7728327-7728793	Cluster_10233	N	336	422	448	239	323
ptg000017l:7737884-7738306	Cluster_10234	N	14	26	47	35	59
ptg000017l:7804837-7805266	Cluster_10235	N	30	22	10	55	10
ptg000017l:7828049-7829092	Cluster_10236	N	10	22	9	775	1133
ptg000017l:7923956-7924460	Cluster_10237	N	1	307	9	0	4
ptg000017l:7941302-7941719	Cluster_10238	N	14	16	94	176	13
ptg000017l:7984459-7984927	Cluster_10239	N	179	61	52	99	193
ptg000017l:7990810-7991436	Cluster_10240	N	112	127	88	3	13
ptg000017l:7991940-7992485	Cluster_10241	N	482	1158	1	0	12
ptg000017l:7992934-7993433	Cluster_10242	N	600	2097	219	13	0
ptg000017l:8006582-8007722	Cluster_10243	N	1255	799	126	1296	942
ptg000017l:8110958-8111385	Cluster_10244	N	3	136	0	0	0
ptg000017l:8113025-8114504	Cluster_10245	N	15	5413	2	13	2
ptg000017l:8116189-8116732	Cluster_10246	N	3	286	0	1	0
ptg000017l:8217422-8217882	Cluster_10247	N	449	15	13	556	3
ptg000017l:8224251-8224668	Cluster_10248	N	0	0	1801	1	0
ptg000017l:8494956-8495408	Cluster_10249	N	839	20	24	480	557
ptg000017l:8495563-8495990	Cluster_10250	N	0	4	3	84	170
ptg000017l:8497243-8497670	Cluster_10251	N	58	3	2	4	173
ptg000017l:8497892-8498483	Cluster_10252	N	1759	3	860	11	1074
ptg000017l:8567376-8567781	Cluster_10253	N	1	96	1	0	0
ptg000017l:8666733-8667147	Cluster_10254	N	71	41	13	0	44
ptg000017l:8726917-8727343	Cluster_10255	N	13	30	120	14	6
ptg000017l:8846921-8847350	Cluster_10256	N	8	5	1	372	3
ptg000017l:8852440-8852848	Cluster_10257	N	122	6	19	19	38
ptg000017l:8853061-8853903	Cluster_10258	N	129	165	42	72	100
ptg000017l:8855177-8855605	Cluster_10259	N	20	3	0	168	38
ptg000017l:8864768-8865196	Cluster_10260	N	0	0	55	158	0
ptg000017l:8865410-8865837	Cluster_10261	N	1	0	93	143	2
ptg000017l:8871832-8872617	Cluster_10262	N	72	15	15	118	68
ptg000017l:8877478-8877893	Cluster_10263	N	33	88	40	14	10
ptg000017l:8950578-8950989	Cluster_10264	N	180	1	9	7	2
ptg000017l:9059585-9060005	Cluster_10265	N	6	4	21	21	241
ptg000017l:9074977-9075405	Cluster_10266	N	0	508	0	2	305
ptg000017l:9126273-9127157	Cluster_10267	N	146	488	17	15	2
ptg000017l:9154351-9154787	Cluster_10268	N	14	130	8	109	4
ptg000017l:9177454-9177881	Cluster_10269	N	7	184	1	2	1
ptg000017l:9206860-9207502	Cluster_10270	N	1	1305	82	0	74
ptg000017l:9212135-9212573	Cluster_10271	N	11	276	0	0	7
ptg000017l:9212922-9213345	Cluster_10272	N	4	110	0	1	0
ptg000017l:9280969-9281396	Cluster_10273	N	1	3	7	2	380
ptg000017l:9281779-9282205	Cluster_10274	N	79	8	1	113	24
ptg000017l:9282825-9283863	Cluster_10275	N	1743	11	78	712	111
ptg000017l:9283962-9284389	Cluster_10276	N	315	19	0	0	1
ptg000017l:9286002-9286967	Cluster_10277	N	95	28	1267	560	3665
ptg000017l:9292014-9292554	Cluster_10278	N	0	168	224	41	236
ptg000017l:9341782-9342210	Cluster_10279	N	43	39	67	36	0
ptg000017l:9768861-9769365	Cluster_10280	N	96	1	32	45	0
ptg000017l:9849931-9850360	Cluster_10281	N	0	0	5	2	141
ptg000017l:9850769-9851199	Cluster_10282	N	82	0	352	0	8
ptg000017l:9851814-9852261	Cluster_10283	N	89	1	290	29	43
ptg000017l:9852377-9852908	Cluster_10284	N	383	3	86	34	50
ptg000017l:9853550-9854075	Cluster_10285	N	234	0	1	0	399
ptg000017l:9868911-9869362	Cluster_10286	N	33	280	1	27	1
ptg000017l:9882906-9883330	Cluster_10287	N	0	0	75	51	0
ptg000017l:10011808-10012236	Cluster_10288	N	7	207	0	12	0
ptg000017l:10327042-10327464	Cluster_10289	N	37	17	26	3	46
ptg000017l:10360439-10360945	Cluster_10290	N	59	94	38	481	71
ptg000017l:10547403-10547830	Cluster_10291	N	37	42	39	25	45
ptg000017l:10550683-10551106	Cluster_10292	N	1	1	7	117	2
ptg000017l:10558850-10559330	Cluster_10293	N	15	89	114	253	549
ptg000017l:10579289-10579716	Cluster_10294	N	31	55	65	61	75
ptg000017l:10599645-10600095	Cluster_10295	N	167	2	248	2	59
ptg000017l:10622144-10622554	Cluster_10296	N	89	41	17	2	1
ptg000017l:10665698-10666126	Cluster_10297	N	0	223	0	1	0
ptg000017l:10947947-10948364	Cluster_10298	N	1	178	1	20	8
ptg000017l:10950214-10950641	Cluster_10299	N	7	175	3	46	36
ptg000017l:10951801-10952941	Cluster_10300	N	522	686	60	116	191
ptg000017l:10952953-10953454	Cluster_10301	N	73	132	23	78	50
ptg000017l:10975100-10975528	Cluster_10302	N	2	576	25	1	151
ptg000017l:10990154-10992768	Cluster_10303	N	2155	518	765	17	770
ptg000017l:10994402-10994828	Cluster_10304	N	17	53	18	7	103
ptg000017l:11021147-11021564	Cluster_10305	N	0	180	1	18	5
ptg000017l:11022401-11022805	Cluster_10306	N	0	168	2	4	27
ptg000017l:11023423-11023850	Cluster_10307	N	2	176	2	33	40
ptg000017l:11025010-11026150	Cluster_10308	N	491	688	60	110	193
ptg000017l:11026162-11026663	Cluster_10309	N	82	135	24	67	52
ptg000017l:11034895-11035322	Cluster_10310	N	0	115	1	1	0
ptg000017l:11035480-11035897	Cluster_10311	N	8	3	83	0	0
ptg000017l:11038157-11038584	Cluster_10312	N	0	0	89	1	1
ptg000017l:11038907-11039802	Cluster_10313	N	51	0	2467	29	17
ptg000017l:11149226-11149655	Cluster_10314	N	149	7	83	3	2
ptg000017l:11149952-11150381	Cluster_10315	N	129	17	205	15	15
ptg000017l:11239054-11239765	Cluster_10316	N	22	2505	117	1309	23
ptg000017l:11240027-11240454	Cluster_10317	N	19	64	153	76	5
ptg000017l:11246237-11246667	Cluster_10318	N	15	22	83	4	9
ptg000017l:11282573-11283441	Cluster_10319	N	1	116	2	60	462
ptg000017l:11283793-11284219	Cluster_10320	N	0	0	64	5	197
ptg000017l:11331547-11331977	Cluster_10321	N	1	0	206	0	0
ptg000017l:11340325-11342284	Cluster_10322	N	1848	342	35	2676	66
ptg000017l:11343625-11344752	Cluster_10323	N	306	4	64	779	4
ptg000017l:11397334-11397761	Cluster_10324	N	6	154	8	2	0
ptg000017l:11408197-11408832	Cluster_10325	N	6	41	23	2	1245
ptg000017l:11410069-11410633	Cluster_10326	N	937	17	42	123	89
ptg000017l:11427963-11428668	Cluster_10327	N	34	305	0	0	5
ptg000017l:11429847-11430747	Cluster_10328	N	360	220	0	246	261
ptg000017l:11430946-11431373	Cluster_10329	N	62	73	8	46	13
ptg000017l:11462830-11463256	Cluster_10330	N	348	6	68	281	47
ptg000017l:11464427-11464857	Cluster_10331	N	74	246	45	0	0
ptg000017l:11465684-11466189	Cluster_10332	N	4	1	333	0	0
ptg000017l:11477068-11477661	Cluster_10333	N	165	1	724	86	76
ptg000017l:11479015-11479441	Cluster_10334	N	0	112	0	0	1
ptg000017l:11495570-11496115	Cluster_10335	N	502	11	1726	1745	374
ptg000017l:11531307-11533016	Cluster_10336	N	864	9227	1301	2781	405
ptg000017l:11549489-11549964	Cluster_10337	N	268	1643	2237	5055	261
ptg000017l:11551364-11551792	Cluster_10338	N	0	21	12	82	19
ptg000017l:11563442-11563872	Cluster_10339	N	41	278	0	1	1
ptg000017l:11581410-11581837	Cluster_10340	N	1	0	201	0	25
ptg000017l:11610353-11610780	Cluster_10341	N	43	107	56	11	33
ptg000017l:11629199-11629620	Cluster_10342	N	32	14	22	8	21
ptg000017l:11645597-11646027	Cluster_10343	N	0	1	3	0	260
ptg000017l:11648469-11648898	Cluster_10344	N	0	141	0	1	1
ptg000017l:11654887-11655317	Cluster_10345	N	71	244	229	203	288
ptg000017l:11661708-11662135	Cluster_10346	N	6	5	104	16	1
ptg000017l:11701403-11701951	Cluster_10347	N	241	996	205	1478	189
ptg000017l:11704409-11704825	Cluster_10348	N	75	2	0	2	137
ptg000017l:11705361-11705814	Cluster_10349	N	119	0	0	4	130
ptg000017l:11706579-11707007	Cluster_10350	N	23	0	0	0	131
ptg000017l:11707905-11709071	Cluster_10351	N	819	55	84	420	52
ptg000017l:11726762-11727407	Cluster_10352	N	597	1	1991	43	207
ptg000017l:11727947-11728390	Cluster_10353	N	0	0	1053	0	46
ptg000017l:11731958-11732385	Cluster_10354	N	79	0	24	0	2
ptg000017l:11732557-11733101	Cluster_10355	N	593	0	188	1	8
ptg000017l:11786192-11786609	Cluster_10356	N	11	97	0	0	3
ptg000017l:11794166-11794581	Cluster_10357	N	192	0	18	0	0
ptg000017l:11808310-11808738	Cluster_10358	N	7	91	83	2	4
ptg000017l:11812666-11813567	Cluster_10359	N	71	669	0	17	1
ptg000017l:11813574-11814000	Cluster_10360	N	66	109	2	40	0
ptg000017l:11814203-11814754	Cluster_10361	N	413	154	1	382	3
ptg000017l:11815555-11815983	Cluster_10362	N	59	26	22	111	146
ptg000017l:11816062-11816621	Cluster_10363	N	10	237	82	27	2
ptg000017l:11832431-11832840	Cluster_10364	N	13	64	49	0	0
ptg000017l:11869437-11869846	Cluster_10365	N	14	93	3	1	0
ptg000017l:11874121-11874595	Cluster_10366	N	61	13	189	253	138
ptg000017l:11877553-11879366	Cluster_10367	N	1150	4134	2210	957	128
ptg000017l:12233781-12234505	Cluster_10368	N	2	939	4	3	5
ptg000017l:12234906-12236222	Cluster_10369	N	469	380	176	463	322
ptg000017l:12254367-12254796	Cluster_10370	N	100	0	63	11	290
ptg000017l:12257924-12258504	Cluster_10371	N	987	382	750	852	589
ptg000017l:12456251-12456680	Cluster_10372	N	48	110	35	1	58
ptg000017l:12458529-12458977	Cluster_10373	N	3	114	6	244	58
ptg000017l:12459033-12459442	Cluster_10374	N	0	78	0	0	6
ptg000017l:12464747-12465421	Cluster_10375	N	381	18	2096	278	4236
ptg000017l:12474939-12475404	Cluster_10376	N	28	51	31	123	45
ptg000017l:12483018-12483447	Cluster_10377	N	0	1	0	120	0
ptg000017l:12528446-12528873	Cluster_10378	N	0	2	67	13	0
ptg000017l:12570975-12571401	Cluster_10379	N	0	256	0	0	0
ptg000017l:12599118-12599547	Cluster_10380	N	0	210	1	3	1
ptg000017l:12622521-12622926	Cluster_10381	N	104	3	7	0	1
ptg000017l:12629651-12630082	Cluster_10382	N	1	399	2	0	2
ptg000017l:12644110-12644537	Cluster_10383	N	77	0	24	3	119
ptg000017l:12646040-12646815	Cluster_10384	N	0	1	191	538	0
ptg000017l:12942526-12942950	Cluster_10385	N	2	87	14	4	0
ptg000018l:14217-14644	Cluster_10386	N	2	145	0	0	2
ptg000018l:170004-170429	Cluster_10387	N	16	14	17	23	39
ptg000018l:311427-311848	Cluster_10388	N	22	1	0	44	66
ptg000018l:359701-360130	Cluster_10389	N	173	2	0	0	1
ptg000018l:363828-365800	Cluster_10390	N	3566	5947	289	2470	1911
ptg000018l:367321-367747	Cluster_10391	N	2	147	0	6	3
ptg000018l:458553-458976	Cluster_10392	N	11	73	90	40	101
ptg000018l:533746-534251	Cluster_10393	N	54	183	124	101	60
ptg000018l:666174-666604	Cluster_10394	N	149	18	3	41	1
ptg000018l:908044-908879	Cluster_10395	N	720	1154	625	912	656
ptg000018l:1124698-1125126	Cluster_10396	N	137	7	5	1	3
ptg000018l:1138123-1138630	Cluster_10397	N	2	1	33	1	694
ptg000018l:1314391-1314817	Cluster_10398	N	1	123	5	0	2
ptg000018l:1328878-1329295	Cluster_10399	N	15	32	58	30	71
ptg000018l:1333990-1334418	Cluster_10400	N	56	76	110	86	92
ptg000018l:1364016-1364443	Cluster_10401	N	1	193	1	1	0
ptg000018l:1367590-1368018	Cluster_10402	N	0	60	0	0	58
ptg000018l:1374109-1374537	Cluster_10403	N	139	73	1	2	12
ptg000018l:1397968-1398394	Cluster_10404	N	41	83	0	8	1
ptg000018l:1398594-1399022	Cluster_10405	N	11	1	115	1	0
ptg000018l:1442721-1443171	Cluster_10406	N	0	164	159	1	163
ptg000018l:1520119-1520672	Cluster_10407	N	304	1216	1043	3104	1240
ptg000018l:1522129-1522907	Cluster_10408	N	63	772	584	136	708
ptg000018l:1558352-1559018	Cluster_10409	N	7686	7332	10628	7440	7457
ptg000018l:1604527-1604956	Cluster_10410	N	0	1	1	0	837
ptg000018l:1883522-1884685	Cluster_10411	N	1907	5544	696	800	175
ptg000018l:1900752-1901172	Cluster_10412	N	36	28	13	35	0
ptg000018l:2054187-2054837	Cluster_10413	N	442	111	291	201	899
ptg000018l:2120176-2120650	Cluster_10414	N	94	477	61	155	134
ptg000018l:2140233-2140658	Cluster_10415	N	0	0	0	115	0
ptg000018l:2144908-2145336	Cluster_10416	N	0	235	4	0	0
ptg000018l:2156065-2156493	Cluster_10417	N	102	85	44	105	1
ptg000018l:2166352-2166763	Cluster_10418	N	84	1	16	149	5
ptg000018l:2286780-2286870	Cluster_10419	Y	284	405	1060	853	188
ptg000018l:2343791-2344281	Cluster_10420	N	488	537	505	459	606
ptg000018l:2395084-2395513	Cluster_10421	N	158	28	67	138	27
ptg000018l:2554742-2555172	Cluster_10422	N	60	142	0	4	0
ptg000018l:2880082-2880511	Cluster_10423	N	1	0	363	0	0
ptg000018l:2936342-2936756	Cluster_10424	N	22	6	49	6	15
ptg000018l:2959920-2960348	Cluster_10425	N	51	42	6	18	16
ptg000018l:3221652-3222228	Cluster_10426	N	30	38	53	21	166
ptg000018l:3235922-3236348	Cluster_10427	N	28	31	9	23	5
ptg000018l:3294530-3294962	Cluster_10428	N	20	14	695	4	52
ptg000018l:3367862-3368291	Cluster_10429	N	479	435	224	473	43
ptg000018l:3371178-3371903	Cluster_10430	N	39	56	346	104	8
ptg000018l:3383316-3384005	Cluster_10431	N	91	61	175	13	137
ptg000018l:3401329-3401760	Cluster_10432	N	2	77	37	0	682
ptg000018l:3408380-3408956	Cluster_10433	N	3	347	0	17	10
ptg000018l:3410268-3410713	Cluster_10434	N	10	397	2	216	2
ptg000018l:3422853-3423388	Cluster_10435	N	62	500	406	485	245
ptg000018l:3427636-3428060	Cluster_10436	N	3	0	71	21	1
ptg000018l:3439524-3440117	Cluster_10437	N	684	230	164	846	82
ptg000018l:3464628-3465056	Cluster_10438	N	82	9	82	105	115
ptg000018l:3467406-3467835	Cluster_10439	N	124	7	12	62	4
ptg000018l:3471695-3472270	Cluster_10440	N	154	107	30	302	27
ptg000018l:3509179-3509608	Cluster_10441	N	23	84	14	801	47
ptg000018l:3512903-3513321	Cluster_10442	N	52	75	98	64	29
ptg000018l:3611088-3611509	Cluster_10443	N	51	44	40	29	28
ptg000018l:3672428-3672856	Cluster_10444	N	3	3	150	86	1
ptg000018l:3680280-3681247	Cluster_10445	N	93	244	73	52	71
ptg000018l:3681776-3682304	Cluster_10446	N	572	931	436	505	29
ptg000018l:3685385-3685812	Cluster_10447	N	6	21	7	83	8
ptg000018l:3707926-3708355	Cluster_10448	N	44	47	25	68	5
ptg000018l:3731597-3732049	Cluster_10449	N	3726	7680	616	252	104
ptg000018l:3753581-3754007	Cluster_10450	N	13	15	19	8	52
ptg000018l:3770735-3771677	Cluster_10451	N	8	138	58	101	53
ptg000018l:3799742-3800322	Cluster_10452	N	140	143	378	625	448
ptg000018l:3830296-3830714	Cluster_10453	N	0	53	72	0	9
ptg000018l:3833393-3834350	Cluster_10454	N	7187	169	311	2869	1608
ptg000018l:3857364-3857793	Cluster_10455	N	1	3	2	8	287
ptg000018l:3860784-3861207	Cluster_10456	N	1	104	6	13	1
ptg000018l:3875090-3875519	Cluster_10457	N	180	22	59	50	15
ptg000018l:3878718-3879206	Cluster_10458	N	315	2344	980	1918	218
ptg000018l:3886116-3886544	Cluster_10459	N	2	0	31	20	280
ptg000018l:3906987-3907410	Cluster_10460	N	4	107	9	16	1
ptg000018l:3915977-3916403	Cluster_10461	N	86	25	33	1	0
ptg000018l:3935181-3935610	Cluster_10462	N	198	3	0	0	35
ptg000018l:3975863-3976289	Cluster_10463	N	74	4	10	17	13
ptg000018l:3980671-3981094	Cluster_10464	N	2	107	6	93	0
ptg000018l:4017737-4018155	Cluster_10465	N	30	71	197	67	18
ptg000018l:4074281-4074710	Cluster_10466	N	45	46	28	67	7
ptg000018l:4105206-4105635	Cluster_10467	N	44	38	20	23	2
ptg000018l:4135391-4135814	Cluster_10468	N	0	102	8	9	1
ptg000018l:4170347-4170773	Cluster_10469	N	2	0	16	83	0
ptg000018l:4174192-4174621	Cluster_10470	N	73	82	21	4	24
ptg000018l:4214593-4215164	Cluster_10471	N	0	104	10	93	4
ptg000018l:4244110-4244536	Cluster_10472	N	82	6	6	18	12
ptg000018l:4284965-4285388	Cluster_10473	N	4	105	6	10	0
ptg000018l:4315561-4315984	Cluster_10474	N	2	106	4	10	1
ptg000018l:4341201-4341627	Cluster_10475	N	77	3	7	16	12
ptg000018l:4344954-4345377	Cluster_10476	N	2	105	0	79	3
ptg000018l:4375412-4375834	Cluster_10477	N	9	39	214	51	85
ptg000018l:4375937-4376360	Cluster_10478	N	0	112	22	15	2
ptg000018l:4401814-4402237	Cluster_10479	N	2	105	6	15	0
ptg000018l:4410804-4411230	Cluster_10480	N	89	28	31	0	0
ptg000018l:4429993-4430422	Cluster_10481	N	195	2	0	1	34
ptg000018l:4470675-4471101	Cluster_10482	N	79	3	10	16	13
ptg000018l:4475483-4475906	Cluster_10483	N	1	110	5	91	3
ptg000018l:4512549-4512967	Cluster_10484	N	34	73	200	60	24
ptg000018l:4569092-4569522	Cluster_10485	N	41	48	29	64	7
ptg000018l:4600018-4600447	Cluster_10486	N	43	44	20	25	3
ptg000018l:4630203-4630626	Cluster_10487	N	0	106	7	11	0
ptg000018l:4665159-4665585	Cluster_10488	N	0	0	19	81	0
ptg000018l:4669004-4669433	Cluster_10489	N	71	83	23	3	28
ptg000018l:4709553-4709976	Cluster_10490	N	0	106	11	90	1
ptg000018l:4738922-4739348	Cluster_10491	N	76	5	8	18	15
ptg000018l:4779777-4780200	Cluster_10492	N	4	104	5	12	2
ptg000018l:4810373-4810796	Cluster_10493	N	0	108	5	11	0
ptg000018l:4836013-4836439	Cluster_10494	N	72	3	8	20	16
ptg000018l:4839766-4840189	Cluster_10495	N	1	103	3	89	3
ptg000018l:4870224-4870646	Cluster_10496	N	8	37	225	59	79
ptg000018l:4870749-4871172	Cluster_10497	N	2	118	24	17	2
