Coords	Name	MIRNA	sRNA-ACR-140-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-145-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-150-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-173-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-ACR-178-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed
ntLink_8:4448701-4449195	Cluster_191	N	172	900	89	1884	481
ntLink_8:4464773-4465662	Cluster_192	N	7019	4	1	5	1
ntLink_8:4488652-4489214	Cluster_193	N	66	76	30	149	8
ntLink_8:4490253-4490663	Cluster_194	N	0	114	6	0	7
ntLink_8:4490669-4491098	Cluster_195	N	149	40	33	55	15
ntLink_8:4491298-4492113	Cluster_196	N	134	95	210	69	65
ntLink_8:4498004-4499981	Cluster_197	N	22	5712	15	11	4998
ntLink_8:4523034-4523461	Cluster_198	N	1	0	1	0	94
ntLink_8:4610470-4610899	Cluster_199	N	190	6	2	0	2
ntLink_8:4611246-4611675	Cluster_200	N	258	0	7	43	25
ntLink_8:4701404-4701832	Cluster_201	N	0	0	93	72	27
ntLink_8:4973866-4974295	Cluster_202	N	2	247	3	6	8
ntLink_8:5026833-5027260	Cluster_203	N	0	148	31	0	1
ntLink_8:5181482-5181910	Cluster_204	N	3	190	4	0	0
ntLink_8:5182445-5182873	Cluster_205	N	4	392	0	11	4
ntLink_8:5202627-5203134	Cluster_206	N	2	124	145	192	395
ntLink_8:5304537-5305075	Cluster_207	N	1	0	0	0	517
ntLink_8:5453543-5453970	Cluster_208	N	16	132	0	33	10
ntLink_8:5619792-5620239	Cluster_209	N	28	1	15	110	54
ntLink_8:5700469-5700899	Cluster_210	N	21	101	148	1	16
ntLink_8:5709803-5710231	Cluster_211	N	0	1	722	7	0
ntLink_8:5936701-5937131	Cluster_212	N	359	104	1	3	14
ntLink_8:5966667-5967425	Cluster_213	N	172	105	112	78	128
ntLink_8:5970017-5970577	Cluster_214	N	1177	393	52	1188	122
ntLink_8:6016176-6016605	Cluster_215	N	0	162	5	3	1
ntLink_8:6017761-6018189	Cluster_216	N	2	2	17	327	65
ntLink_8:6046342-6046771	Cluster_217	N	174	211	8	1	1
ntLink_8:6088227-6088669	Cluster_218	N	42	132	169	0	60
ntLink_8:6088934-6089752	Cluster_219	N	44	137	127	2	561
ntLink_8:6178531-6178948	Cluster_220	N	3	2	6	99	1
ntLink_8:6179295-6179722	Cluster_221	N	0	28	150	22	2
ntLink_8:6235649-6236078	Cluster_222	N	391	7	6	2	0
ntLink_8:6309740-6310313	Cluster_223	N	22	24	258	10	136
ntLink_8:6311025-6311826	Cluster_224	N	105	42	323	35	299
ntLink_8:6313581-6313987	Cluster_225	N	26	2	28	0	112
ntLink_8:6318955-6319724	Cluster_226	N	133	36	190	2	288
ntLink_8:6322318-6322746	Cluster_227	N	3	1	77	18	95
ntLink_8:6365821-6366233	Cluster_228	N	11	28	31	2	14
ntLink_8:6425833-6426375	Cluster_229	N	266	2179	190	4893	1
ntLink_8:6688560-6689187	Cluster_230	N	0	0	0	0	698
ntLink_8:6696313-6696741	Cluster_231	N	106	2	0	0	0
ntLink_8:6826064-6826481	Cluster_232	N	260	2	3	2	7
ntLink_8:6839985-6840463	Cluster_233	N	143	400	558	423	200
ntLink_8:6938466-6938901	Cluster_234	N	13	4	1037	13	363
ntLink_8:6938947-6939599	Cluster_235	N	2	7	332	5	476
ntLink_8:6987258-6987680	Cluster_236	N	22	0	20	50	0
ntLink_8:6988792-6989217	Cluster_237	N	48	0	50	25	0
ntLink_8:6989231-6989659	Cluster_238	N	143	0	2	42	1
ntLink_8:6998379-6998808	Cluster_239	N	349	0	0	496	16
ntLink_8:7001624-7002054	Cluster_240	N	268	0	138	0	0
