ACR.140	ACR.145	ACR.150	ACR.173	ACR.178
FUN_013331	10.2337714536681	9.89436579564323	10.0759685407421	9.7503408299256	9.58320518095148
FUN_013336	7.11542211332439	7.11542211332439	7.11542211332439	7.11542211332439	8.12205830408313
FUN_013337	9.09687301933609	8.9701656541978	9.24038045186166	9.41593632422954	9.12326864021609
FUN_041254	8.85322074166475	8.41279982148679	8.14403020179548	9.12533684817935	8.13558242216807
FUN_013335	7.70726481939937	7.11542211332439	7.11542211332439	7.41505761910911	7.41349413641268
FUN_009376	8.67573147341268	8.27238317996653	8.6203973124207	8.74116384875343	8.96651188217327
FUN_010827	10.1721909557359	10.1746614627657	10.1707196138732	10.4185340999579	10.3816591860724
FUN_010826	8.4980580722606	8.50316840409378	8.91606208846016	7.53841600220461	7.98142370495156
FUN_010825	11.1291411439364	12.7551753471952	12.4221804726039	11.8100318373389	11.5014300005351
FUN_010824	7.74373183265474	7.11542211332439	8.5041955156841	7.11542211332439	8.31199812432841
FUN_010822	7.11542211332439	7.11542211332439	7.11542211332439	7.49065203948795	7.43728173744474
FUN_010821	7.94019305808021	7.50809788394984	7.31932603362585	8.19037236685603	7.72049733832563
FUN_010820	7.11542211332439	7.11542211332439	7.11542211332439	7.49065203948795	7.60074623417487
FUN_032950	7.76967140119119	7.11542211332439	8.12520490773243	8.2066287344041	8.87671161544449
FUN_010829	9.4252925698505	9.39341291915587	9.42570327954103	9.68695917945283	9.17148668718398
FUN_010828	11.2074192809569	10.5713246848299	11.2027088443888	11.5204881074641	11.4243423053712
FUN_003969	8.37307255993454	8.3478583897152	8.60284203698404	9.0918485619951	9.30144346768225
FUN_003962	7.67827477709781	7.11542211332439	7.11542211332439	7.11542211332439	7.38760377974467
FUN_003963	7.70726481939937	7.52713784764441	7.61283116678934	7.11542211332439	7.94837977516969
FUN_003966	7.55507685706935	7.11542211332439	7.59184949377965	7.41505761910911	7.93988845048263
FUN_003967	7.11542211332439	7.33096348794006	7.11542211332439	7.11542211332439	7.49977853455869
FUN_003965	7.11542211332439	7.11542211332439	7.73954124402464	7.11542211332439	7.11542211332439
FUN_028142	9.64644591213148	9.43220843621768	9.20138166410612	9.01695436931189	9.68871122515293
FUN_028141	11.2592798076071	12.7057882009594	10.8574718322309	12.3035451894943	11.4740118772801
FUN_028140	11.027380923529	11.8397544117327	10.7399434073195	11.4517600373116	10.6669141123568
FUN_009069	7.67827477709781	9.50230585578243	9.15744897238153	7.50723730917592	9.32734916880824
FUN_009068	9.06862138807567	7.93972844411062	8.08628262579796	9.09427007996433	8.74677619817755
FUN_009065	7.11542211332439	7.11542211332439	7.11542211332439	7.11542211332439	7.58547221511749
FUN_003342	7.41763832078774	7.11542211332439	7.43742215523837	7.11542211332439	7.96508054613468
FUN_009067	7.60363129191885	7.81321066442798	7.92120245428882	7.27578946997345	7.64383055022807
FUN_009061	8.18747137881188	8.95069669993906	8.59098345917655	7.81701588348911	8.2665452790982
FUN_009060	7.61500795395486	7.11542211332439	7.11542211332439	7.11542211332439	7.11542211332439
FUN_009063	7.78637144001859	7.11542211332439	7.94534851735948	7.11542211332439	7.73230255045764
FUN_028145	11.9622286026567	12.3927690740032	11.8614065728587	12.1304310958073	11.9044059274954
FUN_003341	7.41763832078774	7.11542211332439	7.11542211332439	7.22884813348768	7.7772976729546
FUN_022170	11.9433134903651	11.2919804929007	11.2188075430919	11.8299078102419	11.5816114436041
FUN_022171	7.39818385788151	7.36423093285967	7.11542211332439	7.34209934740044	7.85864268323864
FUN_022172	9.72889427846509	10.8438735237532	9.40121178883805	9.17170232795475	9.47919510892768
FUN_022173	7.70726481939937	7.93972844411062	7.88341147618375	7.91536753641607	8.24893075285845
FUN_022174	8.03307142190394	8.55025539769674	8.1982310300208	8.02876417844623	8.37125253990502
FUN_022175	8.48005040235928	7.68256260782223	8.64338608208874	8.61137042896635	7.89589770403818
FUN_022176	7.70726481939937	8.21643460534619	7.93337393726477	8.46863142271907	7.55327070438393
FUN_022177	7.11542211332439	7.94859330759904	7.65224795436945	7.49065203948795	7.97329552738361
FUN_022178	7.9201786003187	7.54531369477972	8.36652430528797	8.07368793996727	8.46133485300052
FUN_022179	8.35273947848628	8.59540092411202	8.24106663723883	8.4048696344647	8.37646967252974
FUN_040614	7.4531565183053	8.14310572310625	8.59692851731701	8.31316598311358	7.70844327000262
FUN_040616	11.5726473506163	11.9408236912917	11.7690947018208	11.6568857222787	11.2912255761546
FUN_040610	8.82140390206587	8.89036776629093	9.56116959908595	9.25117069174138	9.24556005202712
FUN_011886	7.48522378269049	7.99971896232641	7.88341147618375	7.11542211332439	7.8775186626961
FUN_011887	9.89687054658883	7.11542211332439	9.22633456201059	10.0805599079475	9.35275407458267
FUN_011884	10.1329054085058	10.3526968906123	10.3366974554438	10.4828095981805	10.8702614942982
FUN_011885	7.11542211332439	7.11542211332439	7.25966390844903	7.11542211332439	7.82930992690132
FUN_011882	11.5005778782465	12.1222041781484	11.9856906816924	11.4548560447876	11.077707794476
FUN_011883	9.14949852441577	9.02063675592111	9.04051026733129	9.0398945695713	9.23809091905338
FUN_011880	7.68810982237692	7.23994209869571	7.77104034558788	7.82577847925626	7.43728173744474
