sample73	sample79	sample82
Cluster_750	4.31688835468292	9.39559061373925	2.16740480336846
Cluster_794	7.70455315028985	2.16740480336846	8.17720809663534
Cluster_821	2.16740480336846	2.16740480336846	7.6380542209018
Cluster_823	2.16740480336846	8.42120761223684	5.77789823822683
Cluster_833	10.069402294056	2.16740480336846	6.73614400418351
Cluster_844	2.16740480336846	2.16740480336846	8.81935722779267
Cluster_880	8.88182998139061	5.5418572950196	2.16740480336846
Cluster_909	3.1980385395748	9.56615676006046	11.3815804787077
Cluster_924	10.9965505445722	3.66391349340108	6.32202099365165
Cluster_936	8.68627478394081	2.16740480336846	2.16740480336846
Cluster_979	2.16740480336846	8.81563560064593	8.83860204055674
Cluster_986	9.05725294581578	5.57450428953234	2.16740480336846
Cluster_999	3.1980385395748	8.60470758761725	2.16740480336846
Cluster_1002	7.73727745718288	8.79175603549054	2.75602927617567
Cluster_1058	9.33881458657959	2.16740480336846	2.16740480336846
Cluster_1081	10.1656712161451	2.16740480336846	3.76151613117587
Cluster_1091	10.8005836840976	6.79816250908935	3.17350671118386
Cluster_1130	2.16740480336846	9.88266230537329	2.16740480336846
Cluster_1147	3.1980385395748	8.31988802075146	2.16740480336846
Cluster_1160	2.16740480336846	2.86039346157687	11.5298958917711
Cluster_1162	3.75112664102827	2.16740480336846	8.34810903030107
Cluster_1171	8.41519447554966	2.16740480336846	2.16740480336846
Cluster_1186	2.16740480336846	10.1093237441272	3.45009062503158
Cluster_1187	3.1980385395748	11.740920039925	4.38605219670379
Cluster_1206	8.30493538260806	2.16740480336846	8.16962820715968
Cluster_1214	10.0369253873712	2.16740480336846	10.1003680230289
Cluster_1291	5.39188403789004	13.0617355222853	12.1390900690095
Cluster_1324	8.50817209299244	3.13845365396397	8.85286899933854
Cluster_1345	13.0582264195449	12.4045304239174	3.76151613117587
Cluster_1375	2.16740480336846	9.16542251636883	5.89350450694092
Cluster_1405	2.16740480336846	11.3054741689168	9.67057123785452
Cluster_1481	10.9423461965337	10.5019457295756	4.80616087602304
Cluster_1531	7.90507681994532	2.16740480336846	2.75602927617567
Cluster_1555	8.28847269674688	2.16740480336846	2.16740480336846
Cluster_1584	2.16740480336846	7.96461618077843	8.99686688163966
Cluster_1585	2.16740480336846	7.16012831124488	9.16447013164086
Cluster_1625	3.1980385395748	12.4685935721573	2.75602927617567
Cluster_1635	10.7503891497317	3.9105695465579	8.39436504030084
