,id,type
407,FUN_016489,gene
408,FUN_016636,gene
409,FUN_016651,gene
410,FUN_017984,gene
411,FUN_022599,gene
412,FUN_023006,gene
413,FUN_023403,gene
414,FUN_023999,gene
415,FUN_025105,gene
416,FUN_024153,gene
417,FUN_024524,gene
418,FUN_025516,gene
419,FUN_027065,gene
420,FUN_031922,gene
421,FUN_029615,gene
422,FUN_037778,gene
423,FUN_037197,gene
424,FUN_037335,gene
425,FUN_038012,gene
426,FUN_037957,gene
427,FUN_041811,gene
428,FUN_043403,gene
429,FUN_043718,gene
430,FUN_001497,gene
431,FUN_004026,gene
432,FUN_004160,gene
433,FUN_005153,gene
434,FUN_005355,gene
435,FUN_006526,gene
436,FUN_006185,gene
437,FUN_007896,gene
438,FUN_010977,gene
439,FUN_013326,gene
440,FUN_013520,gene
441,FUN_012276,gene
442,FUN_012460,gene
443,FUN_012517,gene
444,FUN_015026,gene
445,FUN_016011,gene
446,FUN_016013,gene
447,FUN_022036,gene
448,FUN_022319,gene
449,FUN_023189,gene
450,FUN_023380,gene
451,FUN_023978,gene
452,FUN_025351,gene
453,FUN_026527,gene
454,FUN_026680,gene
455,FUN_027781,gene
456,FUN_028069,gene
457,FUN_027254,gene
458,FUN_029149,gene
459,FUN_031861,gene
460,FUN_031930,gene
461,FUN_034300,gene
462,FUN_035880,gene
463,FUN_034785,gene
464,FUN_035480,gene
465,FUN_037333,gene
466,FUN_038338,gene
467,FUN_042476,gene
468,FUN_042900,gene
469,FUN_042901,gene
470,FUN_043175,gene
471,FUN_043370,gene
472,FUN_000888,gene
473,FUN_002646,gene
474,FUN_006488,gene
475,FUN_006542,gene
476,FUN_009685,gene
477,FUN_010939,gene
478,FUN_010990,gene
479,FUN_018194,gene
480,FUN_022527,gene
481,FUN_022912,gene
482,FUN_025476,gene
483,FUN_029368,gene
484,FUN_031513,gene
485,FUN_032162,gene
486,FUN_034062,gene
487,FUN_036560,gene
488,FUN_038134,gene
489,FUN_001256,gene
490,FUN_000420,gene
491,FUN_004037,gene
492,FUN_002566,gene
493,FUN_002583,gene
494,FUN_002376,gene
495,FUN_003209,gene
496,FUN_007133,gene
497,FUN_006021,gene
498,FUN_006026,gene
499,FUN_006036,gene
500,FUN_007758,gene
501,FUN_008126,gene
502,FUN_010709,gene
503,FUN_012731,gene
504,FUN_012763,gene
505,FUN_012145,gene
506,FUN_015485,gene
507,FUN_015891,gene
508,FUN_022426,gene
509,FUN_023589,gene
510,FUN_024295,gene
511,FUN_024416,gene
512,FUN_025749,gene
513,FUN_028246,gene
514,FUN_027701,gene
515,FUN_030681,gene
