transcript_id,RNA-ACR-140,RNA-ACR-145,RNA-ACR-150,RNA-ACR-173,RNA-ACR-178
FUN_015700-T1,0,0,0,0,0
FUN_013969-T1,0,0,0,0,0
FUN_025557-T1,64,58,49,125,98
FUN_017103-T1,0,0,0,0,0
FUN_021286-T1,0,0,0,0,0
FUN_036839-T1,0,0,0,0,0
FUN_037691-T1,5,9,5,13,7
FUN_017868-T1,574,259,2818,415,382
FUN_022313-T1,286,174,119,176,121
FUN_041442-T1,107,135,86,73,138
FUN_003529-T1,0,0,0,0,0
FUN_008853-T1,0,0,0,0,0
FUN_000902-T1,0,0,0,0,34
FUN_041137-T1,0,0,0,0,0
FUN_009591-T1,15,0,0,13,8
FUN_018670-T1,0,0,0,0,0
FUN_002734-T1,342,318,310,508,13
FUN_030536-T1,0,0,0,0,0
FUN_043924-T1,0,0,0,0,0
FUN_021338-T1,0,0,0,0,1
FUN_002283-T1,0,0,0,0,0
FUN_019590-T1,14,0,63,0,140
FUN_023624-T1,142,54,102,77,30
FUN_027839-T1,38,22,57,66,91
FUN_027451-T1,12,412,0,0,29
FUN_034592-T1,0,0,0,0,0
FUN_039059-T1,0,0,8,0,5
FUN_008160-T1,0,0,0,0,0
FUN_022061-T1,25,16,30,32,13
FUN_044309-T1,0,0,0,0,0
FUN_010427-T1,0,0,0,0,0
FUN_028288-T1,1384,713,518,1666,1479
FUN_042284-T1,150,52,97,79,2
FUN_009096-T1,0,0,0,0,0
FUN_029017-T1,4792,2446,2682,4572,2698
FUN_005810-T1,0,0,0,0,0
FUN_004330-T1,478,512,309,322,376
FUN_039322-T1,282,215,188,403,387
FUN_018625-T1,0,0,1,1,0
FUN_040386-T1,0,1,0,0,2
FUN_033844-T1,2093,941,1173,1798,1258
FUN_004601-T1,1664,645,258,1146,709
FUN_011675-T1,3,0,0,2,0
FUN_014912-T1,207,136,104,299,104
FUN_003116-T1,0,0,0,0,0
FUN_002938-T1,0,0,12,0,2
FUN_012892-T1,0,0,0,0,0
FUN_018785-T1,0,0,0,0,0
FUN_033823-T1,2756,1650,2392,3331,3652
FUN_043007-T1,3948,3346,2529,4858,2897
FUN_034153-T1,138,88,117,583,23
FUN_007705-T1,22,0,119,158,79
FUN_032307-T1,3760,1734,1245,2374,2147
FUN_020855-T1,329,96,77,132,52
FUN_024493-T1,63,5,10,76,31
FUN_034988-T1,0,49,24,117,43
FUN_025936-T1,0,0,0,0,3
FUN_039360-T1,350,61,60,382,61
FUN_028585-T1,3,0,1,0,1
FUN_014033-T1,8,0,0,0,96
FUN_036121-T1,0,2,5,0,30
FUN_027799-T1,43,0,13,0,29
FUN_018319-T1,228,0,148,546,84
FUN_015379-T1,9,17,43,36,106
FUN_024665-T1,0,0,0,0,0
FUN_039805-T1,17,0,46,17,128
FUN_005446-T1,0,0,0,0,0
FUN_019291-T1,0,0,0,0,0
FUN_035991-T1,0,12,7,18,0
FUN_027064-T1,0,0,0,0,0
FUN_000631-T1,0,51,15,0,0
FUN_039093-T1,0,0,0,0,0
FUN_036990-T1,303,342,18,93,142
FUN_014643-T1,1275,1006,603,1047,954
FUN_025488-T1,9,1,9,27,41
FUN_041930-T1,2052,1966,1399,1697,730
FUN_007107-T1,28,0,0,0,0
FUN_029337-T1,1268,495,480,777,814
FUN_013809-T1,0,0,0,0,0
FUN_010582-T1,38,94,0,35,23
FUN_007594-T1,0,107,0,0,0
FUN_034120-T1,1459,861,807,1080,1093
FUN_031131-T1,0,0,0,0,0
FUN_016446-T1,748,615,518,997,712
FUN_034212-T1,0,49,34,85,76
FUN_013846-T1,0,0,0,0,0
FUN_012901-T1,0,0,0,5,0
FUN_019842-T1,0,0,0,0,0
FUN_013584-T1,988,358,227,274,90
FUN_042430-T1,0,0,0,0,0
FUN_039917-T1,0,0,0,3,0
FUN_030617-T1,0,0,0,0,0
FUN_000792-T1,0,0,0,0,0
FUN_026572-T1,414,108,201,241,549
FUN_024448-T1,589,433,345,408,316
FUN_011353-T1,445,443,153,73,331
FUN_034667-T1,0,0,0,0,0
FUN_031856-T1,2369,865,2170,796,1648
FUN_022270-T1,1245,1248,544,799,879
