Orthogroup	Apulchra-genome.pep	Pocillopora_meandrina_HIv1.genes.pep
OG0000081	FUN_043748-T1, FUN_030099-T1, FUN_003749-T1, FUN_039458-T1, FUN_030621-T1, FUN_021175-T1, FUN_045847-T1, FUN_003536-T1, FUN_003512-T1, FUN_033584-T1, FUN_028869-T1, FUN_040839-T1, FUN_039716-T1, FUN_017688-T1, FUN_021179-T1, FUN_027251-T1, FUN_020897-T1, FUN_042372-T1, FUN_042330-T1, FUN_033592-T1, FUN_042348-T1, FUN_010115-T1, FUN_043749-T1, FUN_033071-T1, FUN_039673-T1, FUN_013000-T1, FUN_007563-T1, FUN_045301-T1	Pocillopora_meandrina_HIv1___TS.g12881.t1
OG0000088	FUN_024504-T1, FUN_045246-T1, FUN_018705-T1, FUN_021830-T1, FUN_030850-T1	Pocillopora_meandrina_HIv1___RNAseq.g25143.t1, Pocillopora_meandrina_HIv1___RNAseq.g9035.t1b, Pocillopora_meandrina_HIv1___RNAseq.g14719.t1c
OG0000089	FUN_026330-T1, FUN_026334-T1, FUN_026332-T1, FUN_026340-T1, FUN_026339-T1, FUN_026331-T1, FUN_026333-T1, FUN_026329-T1, FUN_026335-T1, FUN_026342-T1, FUN_026336-T1, FUN_026344-T1, FUN_026343-T1, FUN_026341-T1, FUN_026338-T1, FUN_026337-T1, FUN_026318-T1, FUN_026323-T1, FUN_026322-T1, FUN_026315-T1, FUN_026316-T1, FUN_026319-T1, FUN_026317-T1, FUN_026325-T1, FUN_026345-T1, FUN_026324-T1, FUN_026320-T1, FUN_026321-T1	Pocillopora_meandrina_HIv1___RNAseq.g28009.t1
OG0000090	FUN_044575-T1, FUN_045659-T1	Pocillopora_meandrina_HIv1___TS.g17053.t1
OG0000090	FUN_044882-T1	Pocillopora_meandrina_HIv1___RNAseq.g23218.t1, Pocillopora_meandrina_HIv1___RNAseq.g3288.t1, Pocillopora_meandrina_HIv1___RNAseq.g17090.t1, Pocillopora_meandrina_HIv1___RNAseq.g6573.t1, Pocillopora_meandrina_HIv1___RNAseq.g16068.t1, Pocillopora_meandrina_HIv1___RNAseq.g19523.t1, Pocillopora_meandrina_HIv1___RNAseq.g19512.t1, Pocillopora_meandrina_HIv1___RNAseq.g21956.t1, Pocillopora_meandrina_HIv1___TS.g12820.t1, Pocillopora_meandrina_HIv1___RNAseq.g16969.t1, Pocillopora_meandrina_HIv1___RNAseq.g269.t1, Pocillopora_meandrina_HIv1___RNAseq.g19581.t1, Pocillopora_meandrina_HIv1___RNAseq.g1641.t1, Pocillopora_meandrina_HIv1___RNAseq.g13844.t1, Pocillopora_meandrina_HIv1___RNAseq.g1642.t1, Pocillopora_meandrina_HIv1___RNAseq.g13843.t1, Pocillopora_meandrina_HIv1___RNAseq.g1262.t1, Pocillopora_meandrina_HIv1___RNAseq.g25387.t1, Pocillopora_meandrina_HIv1___RNAseq.g13845.t1, Pocillopora_meandrina_HIv1___RNAseq.g27026.t1, Pocillopora_meandrina_HIv1___RNAseq.g1640.t1, Pocillopora_meandrina_HIv1___RNAseq.g27025.t1, Pocillopora_meandrina_HIv1___TS.g26720.t1a, Pocillopora_meandrina_HIv1___RNAseq.g7646.t1, Pocillopora_meandrina_HIv1___RNAseq.g29911.t1
OG0000093	FUN_032498-T1	Pocillopora_meandrina_HIv1___RNAseq.g24335.t1
OG0000093	FUN_032502-T1, FUN_032494-T1, FUN_032496-T1, FUN_006479-T1, FUN_006548-T1, FUN_029884-T1, FUN_006495-T1, FUN_029886-T1, FUN_006470-T2, FUN_006470-T1, FUN_032501-T1, FUN_006484-T1, FUN_006556-T1, FUN_006503-T1, FUN_032500-T1, FUN_001865-T1, FUN_001865-T2, FUN_032495-T1, FUN_032495-T2, FUN_006554-T1, FUN_006538-T1, FUN_006504-T1, FUN_006485-T1	Pocillopora_meandrina_HIv1___RNAseq.g24753.t1
OG0000094	FUN_002057-T1	Pocillopora_meandrina_HIv1___RNAseq.g22132.t1, Pocillopora_meandrina_HIv1___RNAseq.g17852.t1, Pocillopora_meandrina_HIv1___RNAseq.g11338.t1, Pocillopora_meandrina_HIv1___RNAseq.g18337.t1, Pocillopora_meandrina_HIv1___TS.g7624.t1, Pocillopora_meandrina_HIv1___TS.g25170.t1, Pocillopora_meandrina_HIv1___RNAseq.g26952.t1, Pocillopora_meandrina_HIv1___TS.g24636.t1, Pocillopora_meandrina_HIv1___TS.g1014.t1, Pocillopora_meandrina_HIv1___RNAseq.g27290.t1c, Pocillopora_meandrina_HIv1___TS.g21786.t1a, Pocillopora_meandrina_HIv1___RNAseq.g28074.t1a, Pocillopora_meandrina_HIv1___RNAseq.g6731.t1, Pocillopora_meandrina_HIv1___RNAseq.g22130.t1, Pocillopora_meandrina_HIv1___TS.g26895.t1, Pocillopora_meandrina_HIv1___TS.g26889.t1, Pocillopora_meandrina_HIv1___RNAseq.g29811.t1d, Pocillopora_meandrina_HIv1___TS.g14690.t1, Pocillopora_meandrina_HIv1___RNAseq.g28883.t1, Pocillopora_meandrina_HIv1___RNAseq.g23439.t1, Pocillopora_meandrina_HIv1___RNAseq.g29388.t1, Pocillopora_meandrina_HIv1___RNAseq.g3818.t1, Pocillopora_meandrina_HIv1___RNAseq.g19888.t1, Pocillopora_meandrina_HIv1___RNAseq.g12382.t1, Pocillopora_meandrina_HIv1___RNAseq.g979.t1, Pocillopora_meandrina_HIv1___RNAseq.g11598.t1, Pocillopora_meandrina_HIv1___RNAseq.g16655.t1, Pocillopora_meandrina_HIv1___RNAseq.g12598.t1, Pocillopora_meandrina_HIv1___RNAseq.g15055.t1, Pocillopora_meandrina_HIv1___RNAseq.g29649.t1, Pocillopora_meandrina_HIv1___RNAseq.g2825.t1a, Pocillopora_meandrina_HIv1___RNAseq.g5735.t1
OG0000099	FUN_022729-T1, FUN_022731-T1, FUN_022754-T1, FUN_022745-T1, FUN_022739-T1, FUN_022736-T1, FUN_022732-T1, FUN_022742-T1, FUN_022744-T1, FUN_022725-T1, FUN_022726-T1, FUN_022737-T1, FUN_022741-T1, FUN_022750-T1, FUN_022752-T1, FUN_022743-T1, FUN_022746-T1, FUN_022728-T1, FUN_022747-T1, FUN_022738-T1, FUN_022753-T1, FUN_022740-T1, FUN_022749-T1, FUN_022727-T1, FUN_022733-T1, FUN_022734-T1, FUN_022751-T1, FUN_022748-T1, FUN_022730-T1, FUN_022735-T1, FUN_022755-T1	Pocillopora_meandrina_HIv1___TS.g26354.t1
OG0000108	FUN_008615-T1	Pocillopora_meandrina_HIv1___RNAseq.g1283.t1, Pocillopora_meandrina_HIv1___RNAseq.g8074.t1, Pocillopora_meandrina_HIv1___RNAseq.g12744.t1, Pocillopora_meandrina_HIv1___RNAseq.g12728.t1a, Pocillopora_meandrina_HIv1___RNAseq.g1291.t1, Pocillopora_meandrina_HIv1___RNAseq.g1281.t1, Pocillopora_meandrina_HIv1___TS.g15730.t1, Pocillopora_meandrina_HIv1___RNAseq.g14648.t1, Pocillopora_meandrina_HIv1___RNAseq.g14678.t1, Pocillopora_meandrina_HIv1___RNAseq.g8069.t1, Pocillopora_meandrina_HIv1___RNAseq.g14642.t1, Pocillopora_meandrina_HIv1___TS.g3823.t1, Pocillopora_meandrina_HIv1___RNAseq.g14643.t1, Pocillopora_meandrina_HIv1___RNAseq.g14655.t1, Pocillopora_meandrina_HIv1___RNAseq.g14695.t1, Pocillopora_meandrina_HIv1___RNAseq.g1284.t1, Pocillopora_meandrina_HIv1___RNAseq.g1292.t1, Pocillopora_meandrina_HIv1___RNAseq.g14641.t1, Pocillopora_meandrina_HIv1___RNAseq.g14692.t1, Pocillopora_meandrina_HIv1___RNAseq.g1293.t1, Pocillopora_meandrina_HIv1___RNAseq.g8073.t1, Pocillopora_meandrina_HIv1___RNAseq.g14696.t2, Pocillopora_meandrina_HIv1___TS.g7926.t1, Pocillopora_meandrina_HIv1___RNAseq.g14649.t1, Pocillopora_meandrina_HIv1___RNAseq.g1282.t1, Pocillopora_meandrina_HIv1___RNAseq.g14650.t1, Pocillopora_meandrina_HIv1___RNAseq.g8075.t1, Pocillopora_meandrina_HIv1___RNAseq.g14636.t1, Pocillopora_meandrina_HIv1___RNAseq.g14631.t1
