sample140	sample145	sample150	sample173	sample178
XM_029336116.2	9.75062800867232	11.1898881627548	7.98331069390514	8.82012943487927	6.85261371636747
XM_029350591.2	10.2190331701361	7.88583722252771	8.18472674199126	9.49342814281373	7.90300576129136
XM_044308178.1	6.2971018992139	6.2971018992139	8.34549315383593	6.2971018992139	8.73485224618661
XM_029345768.2	11.4166877933682	10.8116559190633	7.92278127821961	9.07933126429544	10.4272901678709
XM_029352113.2	9.53768738799267	9.70169376073741	8.5964879010145	11.6828233345014	10.9153930630725
XR_006393933.1	13.6185622293024	14.6492461718247	17.9515096212013	14.310467413861	14.6717862295246
XR_006398041.1	6.78134859076431	7.65242554418018	6.2971018992139	9.38818732825792	7.50261356229202
XM_044317195.1	10.456214100856	7.86302672789113	9.49536478238533	9.006831702844	7.53511690582336
XM_029347629.2	9.90281301510262	10.9576185004229	7.25638156127443	8.71302110769934	9.99260270749173
XM_044326583.1	8.66028195998293	9.75813104653812	8.83816040485688	8.99134365052728	6.2971018992139
XM_044313100.1	11.5608058186695	11.161093348745	11.2168003993596	7.56967406804855	10.9478282083933
XM_044311339.1	6.93139742270009	9.25371620650664	8.6119761495734	6.92631562693083	6.85261371636747
XM_029335710.2	6.2971018992139	6.2971018992139	8.86819836508027	9.25737281698636	6.2971018992139
XM_029348943.2	8.69595664245226	8.85965602076983	6.2971018992139	6.56314732525613	6.2971018992139
XM_044314491.1	8.86140918182573	9.52619727868898	10.4489402666841	8.55785101228755	7.5430801232171
XM_044327327.1	6.50437772945545	9.65882969662063	8.38270438107704	6.70273168583728	7.44300534203335
XM_029333780.2	8.37939802201367	6.2971018992139	8.60683342006792	6.2971018992139	6.90845037720076
XM_029331829.2	14.0985725026207	16.1947814272571	15.1087554263939	13.732472962383	13.4712467307384
XM_029343978.2	6.2971018992139	7.79172489130768	6.2971018992139	6.2971018992139	8.63040009658403
XM_029337792.2	10.9519568430232	7.447424091372	9.02823357125576	8.99134365052728	8.9171032397973
XM_044314481.1	6.2971018992139	8.68374094446155	9.69415673609928	9.97783349081206	7.71110044315307
XM_044312797.1	11.068115061018	8.09879523639962	11.1605984250133	6.2971018992139	9.65837000577807
