given_miRNA_name,mRNA,total_binding_sites,sites_3UTR,sites_5UTR,sites_CDS,PCC.cor,Protein.names
peve-mir-novel-3,Peve_00038927,3,1,0,2,0.999994129428633,Metabotropic glutamate receptor 3 (mGluR3)
peve-mir-novel-3,Peve_00041750,2,0,0,2,0.99983472343522,Serine/threonine-protein kinase SMG1 (SMG-1) (EC 2.7.11.1) (Lambda/iota protein kinase C-interacting protein) (Lambda-interacting protein) (Nonsense mediated mRNA decay-associated PI3K-related kinase SMG1)
peve-mir-novel-3,Peve_00044304,2,0,0,2,0.999409654250644,NA
peve-mir-novel-39,Peve_00001847,2,0,0,2,0.99919831613102,ADP-ribosylation factor-like protein 6-interacting protein 4 (ARL-6-interacting protein 4) (Aip-4)
peve-mir-novel-39,Peve_00002221,2,0,0,2,0.999980672456975,Dehydrogenase/reductase SDR family member 1 (EC 1.1.1.-) (Short chain dehydrogenase/reductase family 19C member 1) (Protein SDR19C1)
peve-mir-novel-39,Peve_00003392,2,0,0,2,0.997354196901045,N-acetylated-alpha-linked acidic dipeptidase 2 (EC 3.4.17.21) (Glutamate carboxypeptidase III) (GCPIII) (N-acetylated-alpha-linked acidic dipeptidase II) (NAALADase II)
peve-mir-novel-39,Peve_00004523,2,0,0,2,0.999999085687885,Pentatricopeptide repeat domain-containing protein 3, mitochondrial
peve-mir-novel-39,Peve_00004847,2,0,0,2,0.99704225336107,Sodium-coupled monocarboxylate transporter 2 (Electroneutral sodium monocarboxylate cotransporter) (Low-affinity sodium-lactate cotransporter) (Solute carrier family 5 member 12)
peve-mir-novel-39,Peve_00006231,2,0,0,2,0.999963027291266,Deubiquitinating protein VCPIP1 (EC 3.4.19.12) (Valosin-containing protein p97/p47 complex-interacting protein 1) (Valosin-containing protein p97/p47 complex-interacting protein p135) (VCP/p47 complex-interacting 135-kDa protein)
peve-mir-novel-39,Peve_00009466,2,0,0,2,0.999047644234391,Uromodulin (Tamm-Horsfall urinary glycoprotein) (THP) [Cleaved into: Uromodulin, secreted form]
peve-mir-novel-39,Peve_00014228,2,0,2,0,0.997036573432838,NA
peve-mir-novel-39,Peve_00016648,2,0,0,2,0.999756154929201,U11/U12 small nuclear ribonucleoprotein 35 kDa protein (U11/U12 snRNP 35 kDa protein) (U1 snRNP-binding protein homolog)
peve-mir-novel-39,Peve_00020418,2,0,0,2,0.997336126674048,Synaptojanin-1 (EC 3.1.3.36) (Synaptic inositol 1,4,5-trisphosphate 5-phosphatase 1)
peve-mir-novel-39,Peve_00021731,2,0,0,2,0.999642017056776,NA
peve-mir-novel-39,Peve_00022876,2,0,0,2,0.999985553864935,Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)
peve-mir-novel-39,Peve_00024262,2,0,0,2,0.999974516288872,Heterogeneous nuclear ribonucleoprotein A1-like 2 (hnRNP A1-like 2) (hnRNP core protein A1-like 2)
peve-mir-novel-39,Peve_00026798,2,0,0,2,0.99891167795814,Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Phytanate--CoA ligase) (EC 6.2.1.24)
peve-mir-novel-39,Peve_00027141,2,0,0,2,-0.998668319889808,Acidic mammalian chitinase (AMCase) (EC 3.2.1.14) (Chitin-binding protein b04) (CBPb04)
peve-mir-novel-39,Peve_00032506,2,0,0,2,-0.999036126103867,Rotatin
