POR.71	POR.73	POR.76	POR.79	POR.82
lncRNA_612	3.72205042109823	2.91159056955	5.92004155773983	4.59173602366875	2.91159056955
lncRNA_614	5.36826505520858	2.91159056955	6.94178747634477	4.38535021773738	3.33591238883686
lncRNA_616	2.91159056955	3.91456550627732	6.35400956682105	2.91159056955	2.91159056955
lncRNA_620	10.2117825475222	9.97828121584278	4.89377892147855	10.3728238245688	10.1398406354431
lncRNA_626	6.948071063455	2.91159056955	2.91159056955	8.99819865702032	7.99311016223466
lncRNA_628	4.20843266361047	4.81671016718112	6.29374848902131	2.91159056955	3.50954823145356
lncRNA_629	2.91159056955	4.4549141649719	6.42122394982194	5.40048912510232	4.98254720785148
lncRNA_641	7.95435898559687	13.2084889006154	7.73633524505863	7.79205079773134	6.75860201435164
lncRNA_658	6.59293376414981	5.4610041760932	7.09597522224459	7.05553228862489	9.61231022503596
lncRNA_663	2.91159056955	2.91159056955	5.50173213833602	6.34693932688873	2.91159056955
lncRNA_665	3.57617239538529	2.91159056955	5.93335611637784	3.53489509492633	2.91159056955
lncRNA_666	3.72205042109823	9.43583847276746	3.46127493295422	7.89949425938103	3.50954823145356
lncRNA_673	2.91159056955	5.39559741635735	3.85266764087493	8.13752335441761	2.91159056955
lncRNA_674	2.91159056955	7.37617024649412	2.91159056955	2.91159056955	9.31396955579652
lncRNA_676	8.18953315069051	4.58806019480081	6.97398103097642	6.64491384423689	3.33591238883686
lncRNA_677	9.13809898687228	5.52341070022432	8.88631840235024	8.10048431350004	8.64768378324102
lncRNA_683	5.72747583272783	6.89086619396226	5.17582906617674	2.91159056955	2.91159056955
lncRNA_684	4.69269040466562	4.7077317472199	8.2686795122568	7.64538095987159	7.84450501343658
lncRNA_685	4.95908698043493	5.98567400919295	4.05458463531259	2.91159056955	2.91159056955
lncRNA_697	4.47611101867247	7.5757682300749	6.57233502259565	4.59173602366875	5.71849125111034
lncRNA_703	4.5893436901505	8.36228398531224	2.91159056955	2.91159056955	3.64138343039457
lncRNA_705	4.64212721338258	3.62779260287563	6.62205750517702	2.91159056955	2.91159056955
lncRNA_707	6.4916718623538	2.91159056955	4.94985218400036	5.93542157163289	6.43482339686588
lncRNA_710	8.28287914003254	7.65930827275811	7.17004505717236	3.78648028173444	4.38248546720661
lncRNA_713	6.33950172095495	2.91159056955	7.3425086963886	2.91159056955	4.43343899374838
lncRNA_718	2.91159056955	2.91159056955	5.62291587665452	4.4931606614107	2.91159056955
lncRNA_721	3.57617239538529	2.91159056955	6.62205750517702	5.67323080853507	6.08695655930816
lncRNA_723	5.2128346745176	2.91159056955	5.46504080930786	2.91159056955	3.50954823145356
lncRNA_728	9.85214299846532	10.2534934642086	7.78782886636475	4.59173602366875	8.69639436914209
lncRNA_730	7.93050859095358	7.08501615182282	4.5299078303158	8.31612921520876	8.86008204958871
lncRNA_734	6.75448660059593	2.91159056955	4.16840536560771	6.34693932688873	5.78996783351625
lncRNA_738	6.77614273118646	3.91456550627732	7.35720684390167	6.83805996001148	7.45949366398709
lncRNA_739	6.06654464387851	5.32686792854306	2.91159056955	2.91159056955	6.63010199420925
lncRNA_740	7.50880324343541	6.18881335436372	4.4906309203746	5.58820861975637	7.35916450350937
lncRNA_742	3.38357917975982	2.91159056955	5.97255653946305	3.78648028173444	2.91159056955
