Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	"# Program:featureCounts v2.0.5; Command:""/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts"" ""-T"" ""42"" ""-a"" ""../output/01.6-lncRNA-pipeline/Apul_lncRNA_fixed.gtf"" ""-o"" ""../output/01.6-lncRNA-pipeline/Apul_counts.txt"" ""-t"" ""lncRNA"" ""-g"" ""gene_id"" ""-p"" ""../output/01.6-lncRNA-pipeline/RNA-ACR-140-S1-TP2.sorted.bam"" ""../output/01.6-lncRNA-pipeline/RNA-ACR-145-S1-TP2.sorted.bam"" ""../output/01.6-lncRNA-pipeline/RNA-ACR-150-S1-TP2.sorted.bam"" ""../output/01.6-lncRNA-pipeline/RNA-ACR-173-S1-TP2.sorted.bam"" ""../output/01.6-lncRNA-pipeline/RNA-ACR-178-S1-TP2.sorted.bam"" "
Geneid	Chr	Start	End	Strand	Length	../output/01.6-lncRNA-pipeline/RNA-ACR-140-S1-TP2.sorted.bam	../output/01.6-lncRNA-pipeline/RNA-ACR-145-S1-TP2.sorted.bam	../output/01.6-lncRNA-pipeline/RNA-ACR-150-S1-TP2.sorted.bam	../output/01.6-lncRNA-pipeline/RNA-ACR-173-S1-TP2.sorted.bam	../output/01.6-lncRNA-pipeline/RNA-ACR-178-S1-TP2.sorted.bam
lncRNA_1239	ntLink_6	62484	68696	+	6213	501	180	348	233	1153
lncRNA_1240	ntLink_6	102619	108802	+	6184	25	31	3	29	88
lncRNA_1244	ntLink_6	121953	123686	+	1734	247	215	114	398	280
lncRNA_1247	ntLink_6	128164	135835	+	7672	1587	1102	601	819	724
lncRNA_1253	ntLink_6	194313	207101	+	12789	2749	1252	1454	2474	2531
lncRNA_1256	ntLink_6	214710	215639	+	930	16	0	2	62	43
lncRNA_1261	ntLink_6	239932	249620	+	9689	1650	1410	946	1248	1484
lncRNA_1262	ntLink_6	252596	259283	+	6688	2479	1973	1138	1629	2133
lncRNA_1263	ntLink_6	277619	280180	+	2562	2413	2786	1789	2144	1091
lncRNA_1266	ntLink_6	333958	346093	+	12136	2228	1131	725	2201	290
lncRNA_1267	ntLink_6	353902	372518	+	18617	2098	982	1050	1787	2137
lncRNA_1272	ntLink_6	418707	421686	+	2980	594	393	291	350	861
lncRNA_1277	ntLink_6	469717	476981	+	7265	12	15	10	29	42
lncRNA_1281	ntLink_6	516408	528304	+	11897	311	224	267	348	697
lncRNA_1284	ntLink_6	528618	535907	+	7290	958	836	731	737	3102
lncRNA_1285	ntLink_6	530447	540613	+	10167	332	254	204	220	894
lncRNA_1289	ntLink_6	658677	672449	+	13773	720	747	533	906	1090
lncRNA_1297	ntLink_6	724491	733724	+	9234	94	145	120	175	255
lncRNA_1299	ntLink_6	748581	753977	+	5397	351	317	132	235	276
lncRNA_1302	ntLink_6	779026	798261	+	19236	256	6770	103	211	323
lncRNA_1314	ntLink_6	843955	848418	+	4464	2003	2464	1315	1770	1219
lncRNA_1320	ntLink_6	884987	886628	+	1642	5377	5760	3149	5044	3935
lncRNA_1327	ntLink_6	995152	1001860	+	6709	1186	1094	1016	1014	703
lncRNA_1340	ntLink_6	1040328	1047453	+	7126	33	12	112	43	258
lncRNA_1346	ntLink_6	1064301	1071064	+	6764	832	415	634	652	686
lncRNA_1357	ntLink_6	1200626	1202658	+	2033	564	341	481	1122	1008
lncRNA_1367	ntLink_6	1495568	1499083	+	3516	565	416	285	694	677
lncRNA_1369	ntLink_6	1544266	1551635	+	7370	77	107	57	175	171
lncRNA_1376	ntLink_6	1594799	1641059	+	46261	2993	3105	2347	3507	4413
