# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/31-Apul-lncRNA/Apul-lncRNA.gtf" "-o" "../output/32-Apul-lncRNA-matrix/Apul-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../data/32-Apul-lncRNA-matrix/RNA-ACR-140.sorted.bam" "../data/32-Apul-lncRNA-matrix/RNA-ACR-145.sorted.bam" "../data/32-Apul-lncRNA-matrix/RNA-ACR-150.sorted.bam" "../data/32-Apul-lncRNA-matrix/RNA-ACR-173.sorted.bam" "../data/32-Apul-lncRNA-matrix/RNA-ACR-178.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/32-Apul-lncRNA-matrix/RNA-ACR-140.sorted.bam	../data/32-Apul-lncRNA-matrix/RNA-ACR-145.sorted.bam	../data/32-Apul-lncRNA-matrix/RNA-ACR-150.sorted.bam	../data/32-Apul-lncRNA-matrix/RNA-ACR-173.sorted.bam	../data/32-Apul-lncRNA-matrix/RNA-ACR-178.sorted.bam
lncRNA_248	ntLink_6	20263021	20263665	+	645	13	21	154	32	30
lncRNA_249	ntLink_6	20264618	20271250	+	6633	55	276	165	137	191
lncRNA_250	ntLink_6	20264721	20267793	+	3073	0	0	0	0	0
lncRNA_251	ntLink_6	20265432	20267793	+	2362	0	0	0	0	0
lncRNA_252	ntLink_6	20500806	20501934	+	1129	0	0	0	0	0
lncRNA_253	ntLink_6	20549056	20570141	+	21086	102	0	56	2	259
lncRNA_254	ntLink_6	20555624	20566870	+	11247	0	0	0	0	0
lncRNA_255	ntLink_6	20626873	20690022	+	63150	213	3	214	10	725
lncRNA_256	ntLink_6	20658329	20672920	+	14592	0	0	0	0	0
lncRNA_257	ntLink_6	20680419	20688829	+	8411	0	0	0	0	0
lncRNA_258	ntLink_6	20680419	20689281	+	8863	0	0	0	0	0
lncRNA_259	ntLink_6	20681599	20687216	+	5618	0	0	0	0	0
lncRNA_260	ntLink_6	20701503	20714070	+	12568	147	2	193	6	481
lncRNA_261	ntLink_6	20724559	20726639	+	2081	376	0	153	13	136
lncRNA_262	ntLink_6	20730930	20734063	+	3134	0	0	1	0	7
lncRNA_263	ntLink_6	20752669	20791504	+	38836	240	4	198	18	558
lncRNA_264	ntLink_6	20791766	20800365	+	8600	38	0	43	0	77
lncRNA_265	ntLink_6	20832028	20849389	+	17362	118	4	159	3	380
lncRNA_266	ntLink_6	20865850	20873900	+	8051	0	1	2	0	2
lncRNA_267	ntLink_6	20884336	20890598	+	6263	2	0	6	0	9
lncRNA_268	ntLink_6	21013309	21017463	+	4155	60	0	57	1	124
lncRNA_269	ntLink_6	21019303	21021532	+	2230	2	0	1	0	47
lncRNA_270	ntLink_6	21072770	21075917	+	3148	10	0	11	0	25
lncRNA_271	ntLink_6	21083920	21092259	+	8340	22	0	37	0	46
lncRNA_272	ntLink_6	21085054	21090619	+	5566	0	0	0	0	0
lncRNA_273	ntLink_6	21099636	21118753	+	19118	272	4	159	7	590
lncRNA_274	ntLink_6	21102366	21110038	+	7673	0	0	0	0	0
lncRNA_275	ntLink_6	21104253	21105928	+	1676	0	0	0	0	0
lncRNA_276	ntLink_6	21143450	21144570	+	1121	28	0	29	0	62
lncRNA_277	ntLink_6	21162589	21162832	+	244	4	0	0	0	34
lncRNA_278	ntLink_6	21163683	21171004	+	7322	0	0	2	0	9
lncRNA_279	ntLink_6	21169192	21171004	+	1813	0	0	0	0	0
lncRNA_280	ntLink_6	21179380	21188290	+	8911	0	0	0	0	0
lncRNA_281	ntLink_6	21181932	21188290	+	6359	0	0	0	0	0
lncRNA_282	ntLink_6	21326356	21362590	+	36235	82	0	37	0	194
lncRNA_283	ntLink_6	21470304	21475905	+	5602	1	0	0	0	1
lncRNA_284	ntLink_6	21525145	21540749	+	15605	306	5	241	1	561
lncRNA_285	ntLink_6	21551337	21551991	+	655	0	14	13	0	3
lncRNA_286	ntLink_6	21562140	21567248	+	5109	17	0	24	2	47
lncRNA_287	ntLink_6	21576757	21591588	+	14832	90	1	60	9	98
lncRNA_288	ntLink_6	21609914	21612972	+	3059	1	3	0	36	37
lncRNA_289	ntLink_6	21614399	21619852	+	5454	129	0	51	5	236
lncRNA_290	ntLink_6	21623803	21626100	+	2298	43	0	11	0	39
lncRNA_291	ntLink_6	21770717	21781753	+	11037	23	5	17	0	58
lncRNA_292	ntLink_6	21772977	21779943	+	6967	0	0	0	0	0
lncRNA_293	ntLink_6	21777720	21781753	+	4034	0	0	0	0	0
lncRNA_294	ntLink_6	21832901	21841283	+	8383	0	0	0	0	0
lncRNA_295	ntLink_6	21832901	21841283	+	8383	0	0	0	0	0
lncRNA_296	ntLink_6	21854442	21856515	+	2074	31	0	39	0	80
lncRNA_297	ntLink_6	21936946	21940258	+	3313	42	3	48	20	249
lncRNA_298	ntLink_6	21963853	21965704	+	1852	0	0	0	0	0
lncRNA_299	ntLink_6	21993179	21993454	+	276	7	5	10	1	12
lncRNA_300	ntLink_6	22014449	22018312	+	3864	52	2	66	0	109
lncRNA_301	ntLink_6	22299510	22299859	+	350	52	68	27	86	65
lncRNA_302	ntLink_6	22628431	22629525	+	1095	2	2	0	0	0
lncRNA_303	ntLink_6	22687532	22691706	+	4175	119	297	156	76	72
lncRNA_304	ntLink_6	22724961	22729379	+	4419	0	0	0	0	0
lncRNA_305	ntLink_6	22724961	22729379	+	4419	0	0	0	0	0
lncRNA_306	ntLink_6	22777125	22778219	+	1095	0	45	25	0	0
lncRNA_307	ntLink_6	23050054	23050414	+	361	4	0	0	2	49
