# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/31-Apul-lncRNA/Apul-lncRNA.gtf" "-o" "../output/32-Apul-lncRNA-matrix/Apul-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../data/32-Apul-lncRNA-matrix/RNA-ACR-140.sorted.bam" "../data/32-Apul-lncRNA-matrix/RNA-ACR-145.sorted.bam" "../data/32-Apul-lncRNA-matrix/RNA-ACR-150.sorted.bam" "../data/32-Apul-lncRNA-matrix/RNA-ACR-173.sorted.bam" "../data/32-Apul-lncRNA-matrix/RNA-ACR-178.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/32-Apul-lncRNA-matrix/RNA-ACR-140.sorted.bam	../data/32-Apul-lncRNA-matrix/RNA-ACR-145.sorted.bam	../data/32-Apul-lncRNA-matrix/RNA-ACR-150.sorted.bam	../data/32-Apul-lncRNA-matrix/RNA-ACR-173.sorted.bam	../data/32-Apul-lncRNA-matrix/RNA-ACR-178.sorted.bam
lncRNA_20329	ptg000022l	7645805	7646179	+	375	2	0	19	0	113
lncRNA_20330	ptg000022l	7646438	7646904	+	467	4	0	8	0	34
lncRNA_20331	ptg000022l	7775753	7775966	+	214	0	0	8	0	75
lncRNA_20332	ptg000022l	7781091	7781309	+	219	16	0	16	0	12
lncRNA_20333	ptg000022l	7784229	7784841	+	613	15	0	66	0	45
lncRNA_20334	ptg000022l	7786290	7786772	+	483	14	9	29	18	162
lncRNA_20335	ptg000022l	7809955	7810162	+	208	0	1	5	7	16
lncRNA_20336	ptg000022l	7875073	7875440	+	368	16	4	33	0	6
lncRNA_20337	ptg000022l	7901872	7902149	+	278	11	7	0	7	83
lncRNA_20338	ptg000022l	7906894	7907541	+	648	20	4	6	9	100
lncRNA_20339	ptg000022l	7909462	7909745	+	284	0	20	0	0	0
lncRNA_20340	ptg000022l	7924689	7925348	+	660	0	0	36	0	0
lncRNA_20341	ptg000022l	7939889	7940202	+	314	0	0	0	0	25
lncRNA_20342	ptg000022l	7943681	7944097	+	417	0	1	6	4	30
lncRNA_20343	ptg000022l	7985324	7986118	+	795	0	4	4	0	21
lncRNA_20344	ptg000022l	7998008	7998274	+	267	0	0	2	0	25
lncRNA_20345	ptg000022l	8017929	8018274	+	346	0	0	38	0	0
lncRNA_20346	ptg000022l	8018560	8018920	+	361	0	0	24	0	0
lncRNA_20347	ptg000022l	8045911	8046732	+	822	3	12	7	12	69
lncRNA_20348	ptg000022l	8092241	8092739	+	499	0	0	18	0	22
lncRNA_20349	ptg000022l	8112042	8112415	+	374	2	0	24	0	66
lncRNA_20350	ptg000022l	8112638	8113199	+	562	2	0	12	0	69
lncRNA_20351	ptg000022l	8113483	8113710	+	228	0	0	1	0	21
lncRNA_20352	ptg000022l	8236678	8237648	+	971	21	6	29	9	79
lncRNA_20353	ptg000022l	8240003	8240513	+	511	65	0	24	0	62
lncRNA_20354	ptg000022l	8249756	8251771	+	2016	1288	1288	1192	894	648
lncRNA_20355	ptg000022l	8264159	8264598	+	440	29	4	10	15	31
lncRNA_20356	ptg000022l	8282660	8283860	+	1201	119	61	68	203	100
lncRNA_20357	ptg000022l	8411050	8411953	+	904	57	2	50	15	171
lncRNA_20358	ptg000022l	8599157	8600680	+	1524	145	4	77	6	464
lncRNA_20359	ptg000022l	8608170	8608647	+	478	9	0	3	2	82
lncRNA_20360	ptg000022l	8628843	8629414	+	572	55	4	17	3	249
lncRNA_20361	ptg000022l	8631517	8632366	+	850	6	0	43	0	132
lncRNA_20362	ptg000022l	8769276	8769727	+	452	11	33	24	35	35
lncRNA_20363	ptg000022l	8807242	8807671	+	430	0	0	1	0	7
lncRNA_20364	ptg000022l	8818463	8819736	+	1274	31	24	41	8	166
lncRNA_20365	ptg000022l	8847871	8848850	+	980	55	0	21	0	233
lncRNA_20366	ptg000022l	8857274	8858147	+	874	11	0	45	0	113
lncRNA_20367	ptg000022l	9008833	9009375	+	543	10	4	34	7	10
lncRNA_20368	ptg000022l	9164485	9164749	+	265	21	0	0	3	17
lncRNA_20369	ptg000022l	9342618	9343059	+	442	16	0	36	2	79
lncRNA_20370	ptg000022l	9412385	9413316	+	932	0	0	0	0	0
lncRNA_20371	ptg000022l	9414779	9415117	+	339	35	0	0	0	10
lncRNA_20372	ptg000022l	9526261	9526733	+	473	0	0	4	0	100
lncRNA_20373	ptg000022l	9549816	9550318	+	503	42	8	0	34	2
lncRNA_20374	ptg000022l	9584388	9584635	+	248	7	157	17	36	41
lncRNA_20375	ptg000022l	9693974	9695168	+	1195	20	0	33	10	183
lncRNA_20376	ptg000022l	9702406	9703094	+	689	11	2	23	8	293
lncRNA_20377	ptg000022l	9703792	9704638	+	847	32	41	53	24	46
lncRNA_20378	ptg000022l	9797020	9797824	+	805	1	0	6	1	62
lncRNA_20379	ptg000022l	9948048	9948429	+	382	16	0	16	4	107
lncRNA_20380	ptg000022l	9952154	9952586	+	433	8	0	28	10	107
lncRNA_20381	ptg000022l	9952877	9953523	+	647	55	6	75	4	74
lncRNA_20382	ptg000022l	9973439	9974240	+	802	6	5	20	7	22
lncRNA_20383	ptg000022l	9975424	9975628	+	205	2	0	1	0	34
lncRNA_20384	ptg000022l	9976636	9976853	+	218	0	0	3	0	10
lncRNA_20385	ptg000023l	48338	49150	+	813	96	204	105	53	36
lncRNA_20386	ptg000023l	236788	238954	+	2167	28	10	91	66	257
lncRNA_20387	ptg000023l	255397	259750	+	4354	63	60	93	109	66
lncRNA_20388	ptg000023l	553384	556401	+	3018	95	31	51	175	178
lncRNA_20389	ptg000023l	924088	924385	+	298	0	11	18	0	9
lncRNA_20390	ptg000023l	1044843	1065672	+	20830	1191	266	321	593	493
lncRNA_20391	ptg000023l	1051018	1071022	+	20005	0	0	0	0	0
lncRNA_20392	ptg000023l	1064738	1130439	+	65702	0	0	0	0	0
lncRNA_20393	ptg000023l	1064749	1153922	+	89174	0	0	0	0	0
lncRNA_20394	ptg000023l	1064805	1108563	+	43759	0	0	0	0	0
lncRNA_20395	ptg000023l	1131305	1132008	+	704	0	0	0	0	0
lncRNA_20396	ptg000023l	1172970	1174876	+	1907	0	0	0	0	0
lncRNA_20397	ptg000023l	1173379	1174876	+	1498	0	0	0	0	0
lncRNA_20398	ptg000023l	1173379	1174876	+	1498	0	0	0	0	0
lncRNA_20399	ptg000023l	1282070	1315714	+	33645	491	226	359	537	250
lncRNA_20400	ptg000023l	1283187	1316103	+	32917	0	0	0	0	0
lncRNA_20401	ptg000023l	1360808	1383106	+	22299	878	825	271	368	1086
lncRNA_20402	ptg000023l	1633112	1635751	+	2640	132	17	13	108	58
lncRNA_20403	ptg000023l	1635931	1654776	+	18846	0	0	0	0	0
lncRNA_20404	ptg000023l	1635931	1674618	+	38688	0	0	0	0	0
lncRNA_20405	ptg000023l	1635931	1674986	+	39056	0	0	0	0	0
lncRNA_20406	ptg000023l	1635931	1674986	+	39056	0	0	0	0	0
lncRNA_20407	ptg000023l	1784728	1797756	+	13029	0	0	0	0	0
lncRNA_20408	ptg000023l	1784728	1805133	+	20406	37	79	37	111	43
lncRNA_20409	ptg000023l	1797033	1804806	+	7774	0	0	0	0	0
lncRNA_20410	ptg000023l	2097488	2099777	+	2290	244	52	120	70	101
lncRNA_20411	ptg000023l	2179383	2180282	+	900	29	64	105	87	11
lncRNA_20412	ptg000023l	2197841	2199556	+	1716	16	6	12	35	298
lncRNA_20413	ptg000023l	2202057	2203053	+	997	9	1855	99	392	31
lncRNA_20414	ptg000023l	2251915	2256081	+	4167	614	166	130	660	124
lncRNA_20415	ptg000023l	2634892	2635506	+	615	16	7	1	7	15
lncRNA_20416	ptg000023l	2635563	2636412	+	850	11	9	21	23	9
lncRNA_20417	ptg000023l	2673371	2673969	+	599	127	3	41	26	22
lncRNA_20418	ptg000023l	2708615	2711242	+	2628	114	101	65	43	19
lncRNA_20419	ptg000023l	3087017	3089656	+	2640	295	121	68	171	212
lncRNA_20420	ptg000023l	3189799	3192628	+	2830	112	111	88	24	250
lncRNA_20421	ptg000023l	3685764	3686343	+	580	0	8	0	0	51
lncRNA_20422	ptg000023l	3758730	3762283	+	3554	35	33	34	37	10
lncRNA_20423	ptg000023l	3760049	3762283	+	2235	0	0	0	0	0
lncRNA_20424	ptg000023l	3774905	3779068	+	4164	10	8	27	13	26
lncRNA_20425	ptg000023l	3787725	3806989	+	19265	3	10	9	0	49
lncRNA_20426	ptg000023l	3790536	3806989	+	16454	0	0	0	0	0
lncRNA_20427	ptg000023l	3790544	3806989	+	16446	0	0	0	0	0
lncRNA_20428	ptg000023l	3824414	3825059	+	646	3	0	39	0	25
lncRNA_20429	ptg000023l	3878547	3880990	+	2444	472	35	82	17	139
lncRNA_20430	ptg000023l	3895110	3898416	+	3307	507	127	737	2	308
lncRNA_20431	ptg000023l	3992595	3993049	+	455	56	56	9	1	1
lncRNA_20432	ptg000023l	4043197	4043991	+	795	40	37	75	28	46
lncRNA_20433	ptg000023l	4257656	4261259	+	3604	109	315	160	0	158
lncRNA_20434	ptg000023l	4355954	4357337	+	1384	4807	3329	2581	4177	3844
lncRNA_20435	ptg000023l	4401094	4419880	+	18787	209	10	134	10	292
lncRNA_20436	ptg000023l	4410588	4414135	+	3548	0	0	0	0	0
lncRNA_20437	ptg000023l	4599842	4631117	+	31276	56	13	21	41	40
lncRNA_20438	ptg000023l	4785117	4787324	+	2208	418	4220	1326	4148	622
lncRNA_20439	ptg000023l	4817985	4818461	+	477	10	0	26	0	0
lncRNA_20440	ptg000023l	4969117	4969713	+	597	44	3	10	24	0
lncRNA_20441	ptg000023l	5231440	5243917	+	12478	5	72	37	144	10
lncRNA_20442	ptg000023l	5566459	5567705	+	1247	1	43	54	127	17
lncRNA_20443	ptg000023l	5598718	5599170	+	453	0	0	0	0	53
lncRNA_20444	ptg000023l	5964109	5968396	+	4288	47	54	48	180	240
lncRNA_20445	ptg000023l	6266720	6283211	+	16492	86	71	123	48	80
lncRNA_20446	ptg000023l	6486541	6487877	+	1337	12	21	3	40	6
lncRNA_20447	ptg000023l	6507953	6508722	+	770	0	0	0	0	0
lncRNA_20448	ptg000023l	6515617	6516331	+	715	0	0	0	0	0
lncRNA_20449	ptg000023l	6530839	6531429	+	591	1	2	2	2	2
lncRNA_20450	ptg000023l	7274557	7280726	+	6170	107	64	32	0	174
lncRNA_20451	ptg000023l	7376648	7378345	+	1698	79	0	2	24	108
lncRNA_20452	ptg000023l	7436743	7439802	+	3060	31	0	16	71	58
lncRNA_20453	ptg000023l	7443650	7444881	+	1232	0	0	0	0	0
lncRNA_20454	ptg000023l	7443664	7444881	+	1218	0	0	0	0	0
lncRNA_20455	ptg000023l	7518768	7531647	+	12880	171	256	631	714	268
lncRNA_20456	ptg000023l	8055203	8057362	+	2160	0	0	0	0	0
lncRNA_20457	ptg000023l	8055270	8057362	+	2093	0	0	0	0	0
lncRNA_20458	ptg000023l	8139078	8141346	+	2269	0	0	0	0	0
lncRNA_20459	ptg000023l	8139078	8141346	+	2269	0	0	0	0	0
lncRNA_20460	ptg000023l	8229631	8231255	+	1625	49	27	111	16	302
lncRNA_20461	ptg000023l	8327437	8328510	+	1074	11	27	223	6	454
lncRNA_20462	ptg000023l	8344880	8345782	+	903	0	0	0	0	0
lncRNA_20463	ptg000023l	8477631	8478098	+	468	6	14	0	30	0
lncRNA_20464	ptg000023l	8603539	8603784	+	246	3	2	2	1	23
lncRNA_20465	ptg000023l	8676010	8680296	+	4287	1	0	0	0	43
lncRNA_20466	ptg000023l	8679036	8680296	+	1261	0	0	0	0	0
lncRNA_20467	ptg000023l	8691788	8692266	+	479	50	54	74	21	61
lncRNA_20468	ptg000023l	8785843	8787320	+	1478	6	35	10	70	3
lncRNA_20469	ptg000023l	9008641	9010523	+	1883	0	79	35	42	16
lncRNA_20470	ptg000023l	9015238	9016173	+	936	0	5	0	6	4
lncRNA_20471	ptg000023l	9158802	9161556	+	2755	0	0	0	0	0
lncRNA_20472	ptg000023l	9158802	9161556	+	2755	0	0	0	0	0
lncRNA_20473	ptg000023l	9320170	9321600	+	1431	7	0	1	37	50
lncRNA_20474	ptg000023l	9382570	9383691	+	1122	174	0	129	199	0
lncRNA_20475	ptg000023l	9391538	9391988	+	451	0	0	21	0	93
lncRNA_20476	ptg000023l	9462030	9466464	+	4435	58	5	0	14	1
lncRNA_20477	ptg000023l	9462617	9466464	+	3848	0	0	0	0	0
lncRNA_20478	ptg000023l	9937871	9938972	+	1102	0	8	2	0	6
lncRNA_20479	ptg000023l	10036924	10039660	+	2737	1357	93	809	6	70
lncRNA_20480	ptg000023l	10074150	10075886	+	1737	0	65	32	0	45
lncRNA_20481	ptg000023l	10098556	10099110	+	555	8	2	0	1	44
lncRNA_20482	ptg000023l	10188953	10192764	+	3812	0	0	0	0	0
lncRNA_20483	ptg000023l	10188953	10193481	+	4529	0	0	0	0	0
lncRNA_20484	ptg000023l	10188953	10193481	+	4529	0	0	0	0	0
lncRNA_20485	ptg000023l	10189008	10193481	+	4474	0	0	0	0	0
lncRNA_20486	ptg000023l	10189122	10192764	+	3643	0	0	0	0	0
lncRNA_20487	ptg000023l	10244208	10249132	+	4925	3	30	6	78	16
lncRNA_20488	ptg000023l	10280667	10282710	+	2044	2	14	0	14	18
lncRNA_20489	ptg000023l	10362275	10366816	+	4542	0	0	0	0	0
lncRNA_20490	ptg000023l	10362349	10366816	+	4468	0	0	0	0	0
lncRNA_20491	ptg000023l	10362349	10407389	+	45041	0	0	0	0	0
lncRNA_20492	ptg000023l	11395620	11399147	+	3528	79	61	25	42	15
lncRNA_20493	ptg000023l	11660818	11662447	+	1630	74	37	31	40	16
lncRNA_20494	ptg000023l	11667059	11673363	+	6305	68	0	16	2	131
lncRNA_20495	ptg000023l	11732420	11732850	+	431	26	20	7	0	2
lncRNA_20496	ptg000023l	11821022	11821786	+	765	88	2	0	5	1
lncRNA_20497	ptg000023l	12037441	12038554	+	1114	7	0	11	3	45
lncRNA_20498	ptg000023l	12037988	12038554	+	567	0	0	0	0	0
lncRNA_20499	ptg000023l	12237387	12237623	+	237	4	0	1	0	42
lncRNA_20500	ptg000023l	12266196	12268518	+	2323	0	0	0	0	0
lncRNA_20501	ptg000023l	12282543	12304605	+	22063	133	0	100	12	187
lncRNA_20502	ptg000023l	12297041	12302515	+	5475	0	0	0	0	0
lncRNA_20503	ptg000023l	12332250	12335491	+	3242	0	0	0	0	0
lncRNA_20504	ptg000023l	12372487	12379285	+	6799	82	1	61	20	371
lncRNA_20505	ptg000023l	12384092	12384428	+	337	0	0	0	0	15
lncRNA_20506	ptg000023l	12423357	12429105	+	5749	32	3	22	1	57
lncRNA_20507	ptg000023l	12427431	12427730	+	300	0	0	0	0	0
lncRNA_20508	ptg000023l	12540874	12543867	+	2994	1	0	4	1	4
lncRNA_20509	ptg000023l	12561493	12565984	+	4492	19	2	7	0	7
lncRNA_20510	ptg000023l	12566210	12573452	+	7243	33	6	32	8	184
lncRNA_20511	ptg000023l	12571226	12591343	+	20118	31	0	51	6	90
lncRNA_20512	ptg000023l	12578774	12600020	+	21247	22	15	25	2	105
lncRNA_20513	ptg000023l	12594379	12616128	+	21750	47	3	23	1	102
lncRNA_20514	ptg000023l	12643776	12645038	+	1263	24	2	35	8	103
lncRNA_20515	ptg000023l	12675510	12679064	+	3555	35	0	42	5	63
lncRNA_20516	ptg000023l	12702214	12706880	+	4667	0	0	0	0	0
lncRNA_20517	ptg000023l	12719856	12721080	+	1225	14	3	9	0	29
lncRNA_20518	ptg000023l	12749884	12752885	+	3002	27	7	54	14	197
lncRNA_20519	ptg000023l	12761634	12767442	+	5809	7	0	5	0	22
lncRNA_20520	ptg000023l	12764850	12777025	+	12176	81	1	63	6	218
lncRNA_20521	ptg000023l	12780765	12783155	+	2391	43	4	21	1	43
lncRNA_20522	ptg000023l	12817494	12821103	+	3610	0	0	0	0	2
lncRNA_20523	ptg000023l	12818728	12821103	+	2376	0	0	0	0	0
lncRNA_20524	ptg000023l	12888722	12893120	+	4399	20	0	3	0	20
lncRNA_20525	ptg000023l	12917818	12936695	+	18878	15	0	19	7	108
lncRNA_20526	ptg000023l	12993311	13011455	+	18145	14	6	9	78	148
lncRNA_20527	ptg000023l	13033491	13042950	+	9460	4	1	3	0	24
lncRNA_20528	ptg000023l	13047976	13048345	+	370	1	0	1	0	4
lncRNA_20529	ptg000023l	13052327	13052713	+	387	0	0	6	0	2
lncRNA_20530	ptg000023l	13087964	13089102	+	1139	0	0	0	0	0
lncRNA_20531	ptg000023l	13213089	13217471	+	4383	0	1	4	0	54
lncRNA_20532	ptg000023l	13295424	13295624	+	201	0	0	0	0	0
lncRNA_20533	ptg000023l	13322441	13341006	+	18566	18	3	25	29	181
lncRNA_20534	ptg000023l	13353580	13365585	+	12006	2	0	14	2	19
lncRNA_20535	ptg000023l	13410724	13411171	+	448	0	0	0	0	0
lncRNA_20536	ptg000023l	13425208	13425525	+	318	0	0	0	0	0
lncRNA_20537	ptg000023l	13484760	13489775	+	5016	0	0	3	0	14
lncRNA_20538	ptg000023l	13516886	13518371	+	1486	0	0	0	0	0
lncRNA_20539	ptg000023l	13525470	13531036	+	5567	5	0	1	0	68
lncRNA_20540	ptg000023l	13526584	13527825	+	1242	0	0	0	0	0
lncRNA_20541	ptg000023l	13539905	13542505	+	2601	0	0	0	0	0
lncRNA_20542	ptg000023l	13548527	13549483	+	957	14	4	28	4	173
lncRNA_20543	ptg000023l	13576128	13576486	+	359	0	0	6	0	5
lncRNA_20544	ptg000023l	13579544	13579807	+	264	1	0	1	0	7
lncRNA_20545	ptg000023l	13580326	13581344	+	1019	27	2	35	0	121
lncRNA_20546	ptg000023l	13588180	13590918	+	2739	3	0	9	5	30
lncRNA_20547	ptg000023l	13696726	13696967	+	242	0	0	0	0	4
lncRNA_20548	ptg000023l	13738724	13751526	+	12803	22	0	20	0	52
lncRNA_20549	ptg000023l	13743911	13751526	+	7616	0	0	0	0	0
lncRNA_20550	ptg000023l	13806005	13812104	+	6100	104	0	93	9	251
lncRNA_20551	ptg000023l	13913020	13913358	+	339	4	0	1	4	27
lncRNA_20552	ptg000023l	13925329	13934549	+	9221	36	1	64	5	156
lncRNA_20553	ptg000023l	14066707	14069151	+	2445	0	0	0	0	0
lncRNA_20554	ptg000023l	14066731	14069151	+	2421	0	0	0	0	0
lncRNA_20555	ptg000023l	14066731	14069151	+	2421	0	0	0	0	0
lncRNA_20556	ptg000023l	14217047	14218441	+	1395	14	0	32	6	38
lncRNA_20557	ptg000023l	14477122	14478545	+	1424	421	353	285	391	424
lncRNA_20558	ptg000023l	14577229	14577573	+	345	0	8	17	0	0
lncRNA_20559	ptg000023l	14680213	14680626	+	414	9	29	5	24	2
lncRNA_20560	ptg000023l	14713800	14717480	+	3681	0	0	0	0	0
lncRNA_20561	ptg000023l	14888377	14892174	+	3798	108	198	33	101	50
lncRNA_20562	ptg000023l	15600064	15608000	+	7937	59	40	53	63	31
lncRNA_20563	ptg000023l	15600097	15602889	+	2793	0	0	0	0	0
lncRNA_20564	ptg000023l	15600996	15602521	+	1526	0	0	0	0	0
lncRNA_20565	ptg000023l	15613628	15615829	+	2202	123	126	85	121	75
lncRNA_20566	ptg000023l	15632694	15649477	+	16784	198	21	193	20	283
lncRNA_20567	ptg000023l	15653420	15653693	+	274	0	0	0	0	41
lncRNA_20568	ptg000023l	15695501	15695735	+	235	0	2	0	0	0
lncRNA_20569	ptg000023l	15907220	15914690	+	7471	782	1092	541	860	575
lncRNA_20570	ptg000023l	15970885	15971504	+	620	0	0	2	0	0
lncRNA_20571	ptg000023l	16507801	16509921	+	2121	4	13	192	15	53
lncRNA_20572	ptg000023l	16519455	16520798	+	1344	0	0	26	0	78
lncRNA_20573	ptg000023l	16599200	16599873	+	674	15	15	52	18	70
lncRNA_20574	ptg000023l	16631764	16632817	+	1054	13	0	55	0	158
lncRNA_20575	ptg000023l	16742901	16743674	+	774	17	18	19	60	35
lncRNA_20576	ptg000023l	16773554	16775841	+	2288	270	106	168	126	172
lncRNA_20577	ptg000023l	16841063	16844110	+	3048	1586	997	749	909	728
lncRNA_20578	ptg000023l	16880508	16881012	+	505	227	665	225	320	486
lncRNA_20579	ptg000023l	17076254	17076687	+	434	551	504	331	307	115
lncRNA_20580	ptg000023l	17783183	17783669	+	487	0	90	56	36	18
lncRNA_20581	ptg000023l	17783908	17785089	+	1182	0	1	0	0	0
lncRNA_20582	ptg000023l	17821272	17823796	+	2525	3765	5298	3225	3134	1454
lncRNA_20583	ptg000023l	17850790	17854870	+	4081	57	55	87	192	184
lncRNA_20584	ptg000023l	18349472	18352275	+	2804	1233	542	252	1003	161
lncRNA_20585	ptg000023l	18486250	18488284	+	2035	405	3	140	9	135
lncRNA_20586	ptg000023l	18686447	18688299	+	1853	158	0	1	92	2
lncRNA_20587	ptg000023l	18823086	18830364	+	7279	28	4	8	4	11
lncRNA_20588	ptg000023l	19057473	19059727	+	2255	29	16	15	36	18
lncRNA_20589	ptg000023l	19071834	19080431	+	8598	5	23	0	24	0
lncRNA_20590	ptg000023l	19072084	19080431	+	8348	0	0	0	0	0
lncRNA_20591	ptg000023l	19227769	19228180	+	412	0	0	0	0	0
lncRNA_20592	ptg000023l	19577915	19583261	+	5347	32	91	12	0	24
lncRNA_20593	ptg000023l	19762662	19763064	+	403	15	20	1	8	18
lncRNA_20594	ptg000023l	19986483	19986910	+	428	46	1	39	0	156
lncRNA_20595	ptg000023l	20270381	20271964	+	1584	11	1	30	1	42
lncRNA_20596	ptg000023l	20405583	20406743	+	1161	182	1	0	181	47
lncRNA_20597	ptg000023l	20493816	20503583	+	9768	25	3	32	12	100
lncRNA_20598	ptg000023l	20706194	20706431	+	238	37	0	7	22	8
lncRNA_20599	ptg000023l	20708133	20709235	+	1103	15	0	10	0	58
lncRNA_20600	ptg000023l	20727314	20729624	+	2311	0	0	1	0	3
lncRNA_20601	ptg000023l	20728161	20729838	+	1678	5	2	119	0	143
lncRNA_20602	ptg000023l	20728510	20729624	+	1115	0	0	0	0	0
lncRNA_20603	ptg000023l	20771050	20771526	+	477	35	6	50	0	188
lncRNA_20604	ptg000023l	20831239	20834968	+	3730	40	280	15	2	39
lncRNA_20605	ptg000023l	20835262	20839849	+	4588	89	178	39	7	112
lncRNA_20606	ptg000023l	20852190	20858088	+	5899	91	3	48	0	60
lncRNA_20607	ptg000023l	20890026	20890953	+	928	29	31	30	38	18
lncRNA_20608	ptg000023l	20923709	20924086	+	378	38	0	16	7	0
lncRNA_20609	ptg000023l	20970329	20972755	+	2427	0	0	0	0	0
lncRNA_20610	ptg000023l	20970350	20976563	+	6214	0	0	0	0	0
lncRNA_20611	ptg000023l	20971907	20976563	+	4657	0	0	0	0	0
lncRNA_20612	ptg000023l	20990538	20992983	+	2446	298	199	126	62	75
lncRNA_20613	ptg000023l	21088556	21098997	+	10442	3	5	6	0	0
lncRNA_20614	ptg000023l	21104461	21107231	+	2771	65	2	24	0	49
lncRNA_20615	ptg000023l	21134886	21135213	+	328	7	0	19	0	1
lncRNA_20616	ptg000023l	21141815	21148125	+	6311	0	0	0	0	0
lncRNA_20617	ptg000023l	21141838	21156184	+	14347	95	22	57	62	15
lncRNA_20618	ptg000023l	21357723	21358433	+	711	181	8	11	4	4
lncRNA_20619	ptg000023l	21438987	21439582	+	596	0	0	21	9	0
lncRNA_20620	ptg000023l	21454894	21462779	+	7886	48	154	10	18	52
lncRNA_20621	ptg000023l	21482979	21487729	+	4751	0	0	0	0	0
lncRNA_20622	ptg000023l	21482979	21487729	+	4751	0	0	0	0	0
lncRNA_20623	ptg000023l	21483250	21484301	+	1052	0	0	0	0	0
lncRNA_20624	ptg000023l	21592894	21593326	+	433	207	9	47	38	5
lncRNA_20625	ptg000023l	21605927	21611742	+	5816	0	12	0	0	12
lncRNA_20626	ptg000023l	21606960	21611742	+	4783	0	0	0	0	0
lncRNA_20627	ptg000023l	21613379	21613717	+	339	19	27	14	0	75
lncRNA_20628	ptg000023l	21628272	21629174	+	903	0	4	0	0	15
lncRNA_20629	ptg000023l	21670846	21671975	+	1130	39	15	26	3	8
lncRNA_20630	ptg000023l	21758692	21761536	+	2845	860	636	705	707	1039
lncRNA_20631	ptg000023l	21815792	21816992	+	1201	1078	886	648	1628	1006
lncRNA_20632	ptg000023l	21971321	21972758	+	1438	185	167	199	357	76
lncRNA_20633	ptg000023l	21989803	21992960	+	3158	0	0	0	0	0
lncRNA_20634	ptg000023l	21989807	21992960	+	3154	0	0	0	0	0
lncRNA_20635	ptg000023l	21994634	21998111	+	3478	244	134	74	183	271
lncRNA_20636	ptg000023l	22102271	22104204	+	1934	123	215	301	113	210
lncRNA_20637	ptg000023l	22112013	22113438	+	1426	0	0	0	0	0
lncRNA_20638	ptg000023l	22112019	22114236	+	2218	440	363	153	539	224
lncRNA_20639	ptg000023l	22160882	22162168	+	1287	51	74	14	61	53
lncRNA_20640	ptg000023l	22275220	22281203	+	5984	39	0	5	13	52
lncRNA_20641	ptg000023l	22275777	22281203	+	5427	0	0	0	0	0
lncRNA_20642	ptg000023l	22275777	22281203	+	5427	0	0	0	0	0
lncRNA_20643	ptg000023l	22276771	22279694	+	2924	0	0	0	0	0
lncRNA_20644	ptg000023l	22278588	22279694	+	1107	0	0	0	0	0
lncRNA_20645	ptg000023l	22278786	22279694	+	909	0	0	0	0	0
lncRNA_20646	ptg000023l	22316651	22319231	+	2581	1	0	12	4	11
lncRNA_20647	ptg000023l	22316926	22319231	+	2306	0	0	0	0	0
lncRNA_20648	ptg000023l	22363048	22366394	+	3347	24	28	32	12	12
lncRNA_20649	ptg000023l	22363610	22366394	+	2785	0	0	0	0	0
lncRNA_20650	ptg000023l	22366778	22368054	+	1277	5	12	12	50	0
lncRNA_20651	ptg000023l	22415286	22418455	+	3170	21	1	7	22	10
lncRNA_20652	ptg000023l	22450304	22451418	+	1115	229	314	110	198	227
lncRNA_20653	ptg000023l	22616816	22619684	+	2869	40	9	7	26	100
lncRNA_20654	ptg000023l	22567280	22574090	+	6811	666	127	269	525	525
lncRNA_20655	ptg000023l	22584676	22587467	+	2792	5	0	4	0	37
lncRNA_20656	ptg000023l	22640900	22643765	+	2866	53	43	5	10	33
lncRNA_20657	ptg000023l	22643358	22676895	+	33538	1833	1256	511	864	615
lncRNA_20658	ptg000023l	22649993	22655793	+	5801	0	0	0	0	0
lncRNA_20659	ptg000023l	22653313	22655793	+	2481	0	0	0	0	0
lncRNA_20660	ptg000023l	22653313	22655793	+	2481	0	0	0	0	0
lncRNA_20661	ptg000023l	22653313	22655793	+	2481	0	0	0	0	0
lncRNA_20662	ptg000023l	22694166	22697857	+	3692	72	124	32	70	20
lncRNA_20663	ptg000023l	22821581	22821884	+	304	1	0	18	1	19
lncRNA_20664	ptg000023l	22959148	22979543	+	20396	311	143	465	1101	499
lncRNA_20665	ptg000023l	23144250	23149963	+	5714	272	75	19	506	154
lncRNA_20666	ptg000023l	23132211	23134713	+	2503	2	0	36	75	1
lncRNA_20667	ptg000023l	23236342	23238716	+	2375	1024	841	736	774	1114
lncRNA_20668	ptg000023l	23280117	23280693	+	577	48	36	43	38	32
lncRNA_20669	ptg000023l	23297619	23300050	+	2432	7	31	7	20	71
lncRNA_20670	ptg000023l	23310192	23311262	+	1071	23	0	6	9	109
lncRNA_20671	ptg000023l	23358901	23363955	+	5055	22	22	37	62	46
lncRNA_20672	ptg000023l	23588028	23588379	+	352	8	29	30	18	3
lncRNA_20673	ptg000023l	23996761	24000179	+	3419	2659	931	1625	972	1485
lncRNA_20674	ptg000023l	24025575	24028055	+	2481	428	269	362	320	438
lncRNA_20675	ptg000023l	24053620	24095678	+	42059	96	1125	103	412	245
