# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "24" "-M" "-O" "--fraction" "-a" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/output/01.6-Apul-lncRNA-pipeline/Apul-lncRNA.gtf" "-o" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/output/01.6-lncRNA-pipeline/Apul-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-140.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-145.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-150.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-173.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-178.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-140.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-145.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-150.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-173.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Apul-lncRNA-pipeline/RNA-ACR-178.sorted.bam
lncRNA_155	ntLink_6	9839227	9841578	+	2352	386.48	60.05	90.42	345.72	46.64
lncRNA_156	ntLink_6	9985185	9989293	+	4109	5220.46	9820.03	3096.83	2512.56	2441.07
lncRNA_157	ntLink_6	10039343	10049354	+	10012	208.50	158.50	150.50	132.50	262.50
lncRNA_158	ntLink_6	10039366	10042229	+	2864	133.50	56.50	81.50	51.50	106.50
lncRNA_159	ntLink_6	10064176	10064619	+	444	34	6	13	3	37
lncRNA_160	ntLink_6	10142568	10147427	+	4860	1495	909.75	537.50	1951.23	1720.25
lncRNA_161	ntLink_6	10142633	10147427	+	4795	1495	909.75	537.50	1951.23	1720.25
lncRNA_162	ntLink_6	10506805	10535691	+	28887	2946.22	2848.85	1313.72	2070.36	1793.96
lncRNA_163	ntLink_6	10651513	10652269	+	757	14.84	5.39	2.62	17.41	10.67
lncRNA_164	ntLink_6	10735655	10741359	+	5705	989.11	22.14	124.91	4.88	140.29
lncRNA_165	ntLink_6	10735655	10741359	+	5705	989.11	22.14	124.91	4.88	140.29
lncRNA_166	ntLink_6	10708836	10711352	+	2517	314	2	0	0	4
lncRNA_167	ntLink_6	10780627	10782361	+	1735	44	8	10	8	53
lncRNA_168	ntLink_6	10920284	10922529	+	2246	181	110	62	275	288
lncRNA_169	ntLink_6	11233986	11234566	+	581	11	26	34	48	42
lncRNA_170	ntLink_6	11454911	11456928	+	2018	508.33	28.09	6.39	107.07	71.99
lncRNA_171	ntLink_6	11631177	11633058	+	1882	44	0	51	11	80
lncRNA_172	ntLink_6	11728563	11752725	+	24163	1421.23	632.32	372.46	2549.79	2097.93
lncRNA_173	ntLink_6	11895485	11896639	+	1155	219.00	271.66	267.66	204.00	314.66
lncRNA_174	ntLink_6	11895485	11896639	+	1155	219.00	271.66	267.66	204.00	314.66
lncRNA_175	ntLink_6	11895490	11896639	+	1150	219.00	271.66	267.66	204.00	314.66
lncRNA_176	ntLink_6	11946427	11947900	+	1474	516	507	281	582	660
lncRNA_177	ntLink_6	11988815	11990396	+	1582	457	426	200	498	362
lncRNA_178	ntLink_6	12012397	12012819	+	423	12	2	4	1	20
lncRNA_179	ntLink_6	12032304	12032781	+	478	44	19	28	37	28
lncRNA_180	ntLink_6	12560496	12564333	+	3838	112	71	119.50	145	132.50
lncRNA_181	ntLink_6	12560665	12564333	+	3669	87	54	80.50	113	85.50
lncRNA_182	ntLink_6	12568699	12572957	+	4259	345.43	605.25	15.24	30.11	3.75
lncRNA_183	ntLink_6	12568699	12572957	+	4259	345.43	605.25	15.24	30.11	3.75
lncRNA_184	ntLink_6	12568699	12572957	+	4259	345.43	605.25	15.24	30.11	3.75
lncRNA_185	ntLink_6	12568705	12572957	+	4253	345.43	605.25	15.24	30.11	3.75
lncRNA_186	ntLink_6	12568705	12572957	+	4253	345.43	605.25	15.24	30.11	3.75
lncRNA_187	ntLink_6	12654169	12654858	+	690	512	464	415	559	938
lncRNA_188	ntLink_6	12836178	12836488	+	311	2	0	7	0	105.50
lncRNA_189	ntLink_6	12848918	12855297	+	6380	46.77	13.10	60.22	45.20	39.35
lncRNA_190	ntLink_6	12856883	12857939	+	1057	49.50	0	59	1	9.50
lncRNA_191	ntLink_6	13210103	13212000	+	1898	194.61	125.08	469.88	499.45	91.12
lncRNA_192	ntLink_6	13210123	13212000	+	1878	194.61	125.08	469.88	499.45	91.12
lncRNA_193	ntLink_6	13210130	13212000	+	1871	194.61	125.08	469.88	499.45	91.12
lncRNA_194	ntLink_6	13308022	13309106	+	1085	130	188	135	58	41
lncRNA_195	ntLink_6	13449454	13449981	+	528	28	0	24	0.75	96.25
lncRNA_196	ntLink_6	13511068	13522621	+	11554	68730.63	23898.94	6246.32	28629.03	41705.75
lncRNA_197	ntLink_6	13511114	13522621	+	11508	68730.63	23898.94	6246.32	28629.03	41705.75
lncRNA_198	ntLink_6	13521108	13522621	+	1514	20110.73	6719.93	2042.71	7903.51	12368.91
lncRNA_199	ntLink_6	13645334	13645657	+	324	31	5	29	66	12
lncRNA_200	ntLink_6	13942265	13943741	+	1477	53	14.40	0.40	28.50	98.20
lncRNA_201	ntLink_6	13982980	13983717	+	738	24	8	63.10	5	160
lncRNA_202	ntLink_6	14461665	14467392	+	5728	447	235	255	266	587
lncRNA_203	ntLink_6	14558510	14559061	+	552	11.08	0	1	0	39.50
lncRNA_204	ntLink_6	14691603	14692099	+	497	32.19	212.89	15.53	95.95	149.94
lncRNA_205	ntLink_6	14818647	14848482	+	29836	415.63	221.09	388.65	1041.75	874.39
lncRNA_206	ntLink_6	14841265	14855165	+	13901	57.42	31.83	35.67	133.87	136.30
lncRNA_207	ntLink_6	14885581	14890572	+	4992	1299.56	753.46	888.76	1584.32	1558.49
lncRNA_208	ntLink_6	14885581	14890669	+	5089	1385.89	774.59	922.89	1637.99	1637.12
lncRNA_209	ntLink_6	14988334	14992963	+	4630	54.87	62.50	325	327	41
lncRNA_210	ntLink_6	15045133	15050576	+	5444	46.02	23.87	237.48	68.31	68.88
lncRNA_211	ntLink_6	15536308	15557096	+	20789	1657.77	118.32	58.33	54.33	1000.15
lncRNA_212	ntLink_6	15909523	15914301	+	4779	3571	3402	2758.00	3070	2161
lncRNA_213	ntLink_6	15952503	15957830	+	5328	3705	3660	1861	3544	3747
lncRNA_214	ntLink_6	16207399	16208948	+	1550	2257	2175	1897	1944	1776
lncRNA_215	ntLink_6	16220687	16225331	+	4645	141.65	51.50	30.01	101.35	96.72
lncRNA_216	ntLink_6	16220741	16223795	+	3055	84.48	46.50	15.51	53.85	68.88
lncRNA_217	ntLink_6	16532707	16533430	+	724	43	5	44	22	42
lncRNA_218	ntLink_6	16811288	16813623	+	2336	14.39	19.28	24.87	46.32	92.58
lncRNA_219	ntLink_6	17127323	17131818	+	4496	5050	4358.37	4120	5925.17	5280.83
lncRNA_220	ntLink_6	17680047	17682401	+	2355	23.21	14.33	26.44	18.16	149.19
lncRNA_221	ntLink_6	17729691	17730076	+	386	0	14	21	0	8
lncRNA_222	ntLink_6	17848439	17850943	+	2505	15.46	19.51	62.20	16.85	208.65
lncRNA_223	ntLink_6	17857966	17864025	+	6060	344.50	377.38	196.61	411.87	236.63
lncRNA_224	ntLink_6	17884072	17884474	+	403	3.88	12.24	4	20.67	5.46
lncRNA_225	ntLink_6	17938316	17939000	+	685	17.77	0.29	7	5.48	49.99
lncRNA_226	ntLink_6	17938622	17939000	+	379	17.77	0.29	5	5.48	35.99
lncRNA_227	ntLink_6	18053353	18054963	+	1611	165	426	92	236	190
lncRNA_228	ntLink_6	18058699	18059448	+	750	44	6	0	23	7
lncRNA_229	ntLink_6	18092269	18094787	+	2519	70	138	83.40	17.50	275
lncRNA_230	ntLink_6	18138864	18140836	+	1973	498.23	1419.30	807.76	844.10	1163.16
lncRNA_231	ntLink_6	18408209	18420020	+	11812	265.00	588.50	186.62	163.50	301
lncRNA_232	ntLink_6	18419169	18420020	+	852	2	19	8.62	42	0
lncRNA_233	ntLink_6	18459329	18464663	+	5335	126.14	146.87	248.43	319.70	167.56
lncRNA_234	ntLink_6	18459329	18464663	+	5335	126.14	146.87	248.43	319.70	167.56
